# guk/mod Exim
# 	  mpercor	ttime       utime       stime         itime
17       206.18      4850.31       921.56      3928.75         0.00
18       191.46      5223.48       940.23      4283.25         0.00
19       178.61      5599.41      1030.24      4569.17         0.00
20       166.61      6002.53      1080.45      4922.07         0.00
21       156.69      6382.24      1148.80      5233.44         0.00
22       147.47      6781.79      1220.72      5561.06         0.00
23       139.28      7180.65      1292.52      5888.13         0.00
24       131.95      7578.78      1303.51      6275.27         0.00
25       124.94      8004.16      1440.75      6563.41         0.00
26       118.77      8420.60      1464.93      6955.67         0.00
27       112.36      8899.94      1584.27      7315.67         0.00
28       107.30      9320.17      1677.63      7642.54         0.00
29       102.38      9768.02      1699.85      8068.17         0.00
30        98.54     10149.03      1786.26      8342.60         0.00
31        93.53     10691.96      1881.81      8810.15         0.00
32        90.66     11031.52      1985.67      9045.85         0.00
33        86.89     11509.83      2071.77      9438.06         0.00
34        84.60     11821.74      2127.91      9693.83         0.00
35        81.15     12324.04      2218.33     10105.71         0.00
36        79.23     12621.23      2271.82     10349.41         0.00
37        75.93     13170.48      2370.69     10799.79         0.00
38        72.77     13742.49      2473.65     11268.84         0.00
39        70.29     14226.86      2560.84     11666.02         0.00
40        67.63     14788.31      2661.90     12126.42         0.00
41        65.39     15292.82      2752.71     12509.45         0.00
42        63.31     15796.53      2843.38     12953.15         0.00
43        60.68     16480.43      2966.48     13349.15         0.00
44        59.24     16879.25      3038.27     13672.19        33.57
45        57.84     17289.25      3077.39     13762.20       104.01
46        55.49     18023.60      3027.09     13950.04       258.43
47        54.40     18382.10      3088.44     14044.83       218.10
48        52.58     19019.65      3080.88     14149.30       379.30

# stock/mod Exim mem=8g
#      mpercor	    ttime       utime       stime         itime
1        622.80      1605.69       529.84      1075.85         0.00
2        508.80      1965.43       522.82      1442.60         0.00
3        479.00      2087.72       530.28      1557.43         0.00
4        452.45      2210.35       543.74      1666.61         0.00
5        430.16      2324.77       553.30      1771.47         0.00
6        407.90      2451.59       554.06      1897.53         0.00
7        385.00      2597.44       566.23      2031.21         0.00
8        362.95      2755.28       584.07      2171.20         0.00
9        345.04      2898.22       591.25      2306.97         0.00
10       329.56      3034.42       606.88      2427.54         0.00
11       311.76      3207.76       641.55      2566.20         0.00
12       293.20      3410.76       661.65      2749.11         0.00
13       275.37      3631.60       690.00      2941.59         0.00
14       258.77      3864.68       703.29      3161.39         0.00
15       239.87      4169.23       750.46      3418.77         0.00
16       224.67      4450.98       756.67      3694.32         0.00
17       207.93      4809.47       817.61      3991.86         0.00
18       194.79      5134.20       841.83      4292.37         0.00
19       178.76      5594.47       917.63      4676.85         0.00
20       168.93      5920.57       947.29      4973.28         0.00
21       152.60      6599.78      1055.96      5543.81         0.00
22       141.63      7082.01      1047.15      5759.24        13.10
23       139.89      7149.01      1143.84      6005.17         0.00
24       132.81      7529.97      1204.79      6325.17         0.00
25       125.94      7942.07      1239.06      6703.02         0.00
26       119.73      8353.00      1286.45      7066.55         0.00
27       112.76      8869.30      1365.67      7503.62         0.00
28       107.98      9262.02      1389.30      7872.71         0.00
29       103.25      9685.86      1452.88      8232.98         0.00
30        98.87     10114.80      1517.22      8597.58         0.00
31        93.93     10645.85      1596.88      9048.97         0.00
32        90.61     11037.71      1655.65      9382.05         0.00
33        86.72     11532.97      1729.94      9780.11         0.00
34        82.64     12101.79      1815.27     10286.52         0.00
35        79.95     12507.58      1876.14     10631.44         0.00
36        76.75     13031.14      1954.67     11076.47         0.00
37        72.50     13793.69      2041.44     11752.25         0.00
38        68.97     14498.36      2058.76     12439.59         0.00
39        64.88     15414.29      2096.08     13287.22         0.00
40        59.67     16759.25      2044.39     14714.86         0.00
41        54.35     18404.38      2021.88     16345.43         0.00
42        49.73     20124.66      1926.06     18156.72         0.00
43        44.68     22394.98      1878.87     20471.41         0.00
44        40.08     24960.34      1695.67     23215.81         0.00
45        37.08     26979.71      1725.32     25200.92         0.00
46        33.81     29584.99      1538.34     27989.30         0.00
47        31.66     31608.75      1515.02     29904.61         0.00
48        29.58     33806.03      1486.28     32252.24         0.00

# solaris/mod Exim (don't publish)
#      mpercor	    ttime       utime       stime         itime
1       257.00     3891.05      739.30     3151.75        0.00
4       184.50     5420.05      758.81     4661.25        0.00
8       154.25     6482.98      842.79     5640.19        0.00
12      134.17     7453.42      819.88     6633.54        0.00
16      113.31     8825.15      882.52     7942.64        0.00
20       92.70    10787.49      863.00     9924.49        0.00
24       73.58    13590.03      951.30    12638.73        0.00
28       55.54    18006.43      900.32    17106.11        0.00
32       43.34    23071.38      922.86    22148.52        0.00
36       35.14    28458.50      853.75    27604.74        0.00
40       30.02    33305.58      999.17    32306.41        0.00
44       26.32    37996.55      759.93    36856.65      379.97
48       23.75    42105.26      842.11    39157.89     2105.26
