# guk-exim
# path                  cores messages/sec/core real    user/message sys/message idle/message 
named/stock-postgres/randomWritePct-5/lwScale-True/lockScale-True/lockPartitions-1024/cores-40 40    4940.42          15.019  5.94373e-05 0.000139885 4.76414e-06 
named/stock-postgres/randomWritePct-5/lwScale-True/lockScale-True/lockPartitions-1024/cores-44 44    2919.03          15.02   6.26708e-05 0.00025666  2.91634e-05 
named/stock-postgres/randomWritePct-5/lwScale-True/lockScale-True/lockPartitions-1024/cores-48 48    2510.54          15.0187 6.68789e-05 0.00028087  5.88837e-05 


# stock-psearchy/mode-process/order-rr
# path                                              cores jobs/sec/core real    user/job sys/job idle/job 
named/stock-psearchy/mode-process/order-rr/cores-1  1     0.0125496     79.6836 77.25    2.43    0        
named/stock-psearchy/mode-process/order-rr/cores-4  4     0.0127352     19.6307 75.12    2.72    0.69     
named/stock-psearchy/mode-process/order-rr/cores-8  8     0.0125793     9.93698 74.96    2.89    1.69     
named/stock-psearchy/mode-process/order-rr/cores-12 12    0.0121856     6.83866 76.03    3.25    2.81     
named/stock-psearchy/mode-process/order-rr/cores-16 16    0.0118939     5.25479 77.3     3.12    4.24     
named/stock-psearchy/mode-process/order-rr/cores-20 20    0.0115636     4.32391 78.22    3.6     5.03     
named/stock-psearchy/mode-process/order-rr/cores-24 24    0.0111962     3.7215  79.34    3.81    8.99     
named/stock-psearchy/mode-process/order-rr/cores-28 28    0.0108019     3.30631 81.58    4.12    7.27     
named/stock-psearchy/mode-process/order-rr/cores-32 32    0.010506      2.97449 82.66    4.13    14.21    
named/stock-psearchy/mode-process/order-rr/cores-36 36    0.0101456     2.73792 84.44    4.87    10.61    
named/stock-psearchy/mode-process/order-rr/cores-40 40    0.00971013    2.57463 87.07    4.78    16.31    
named/stock-psearchy/mode-process/order-rr/cores-44 44    0.00928129    2.44872 89.69    5.56    14.07    
named/stock-psearchy/mode-process/order-rr/cores-48 48    0.00904664    2.30288 91.16    5.61    15.05    


# stock-psearchy/mode-process/order-seq
# path                                               cores jobs/sec/core real    user/job sys/job idle/job 
named/stock-psearchy/mode-process/order-seq/cores-1  1     0.0125426     79.7283 77.29    2.44    0        
named/stock-psearchy/mode-process/order-seq/cores-4  4     0.0118014     21.184  81.1     3       0.64     
named/stock-psearchy/mode-process/order-seq/cores-8  8     0.0110273     11.3355 83.54    3.35    2.39     
named/stock-psearchy/mode-process/order-seq/cores-12 12    0.0107999     7.7161  86.33    3.5     3.01     
named/stock-psearchy/mode-process/order-seq/cores-16 16    0.0106925     5.84523 85.29    3.8     4.79     
named/stock-psearchy/mode-process/order-seq/cores-20 20    0.0104267     4.79538 85.92    4       6.26     
named/stock-psearchy/mode-process/order-seq/cores-24 24    0.0102378     4.0699  87.8     4.49    6.15     
named/stock-psearchy/mode-process/order-seq/cores-28 28    0.00995013    3.58933 88.32    4.46    8.58     
named/stock-psearchy/mode-process/order-seq/cores-32 32    0.00989071    3.15953 88.1     4.6     17.3     
named/stock-psearchy/mode-process/order-seq/cores-36 36    0.00965535    2.87693 89.19    5       10.2     
named/stock-psearchy/mode-process/order-seq/cores-40 40    0.00951167    2.62835 89.36    5.08    12.34    
named/stock-psearchy/mode-process/order-seq/cores-44 44    0.00928994    2.44644 89.54    7.03    25.83    
named/stock-psearchy/mode-process/order-seq/cores-48 48    0.00910611    2.28784 91.64    5.56    22.92    


# stock-psearchy/mode-thread/order-seq
# path                                              cores jobs/sec/core real    user/job sys/job idle/job 
named/stock-psearchy/mode-thread/order-seq/cores-1  1     0.00820149    121.929 119.66   2.27    0        
named/stock-psearchy/mode-thread/order-seq/cores-4  4     0.00783304    31.9161 122.4    4.02    1.17     
named/stock-psearchy/mode-thread/order-seq/cores-8  8     0.00735255    17.0009 125.78   4.88    4.64     
named/stock-psearchy/mode-thread/order-seq/cores-12 12    0.0072092     11.5593 128.27   5.46    5.16     
named/stock-psearchy/mode-thread/order-seq/cores-16 16    0.00709998    8.80284 127.77   5.75    8.7      
named/stock-psearchy/mode-thread/order-seq/cores-20 20    0.00679982    7.35314 129.45   6.53    12.34    
named/stock-psearchy/mode-thread/order-seq/cores-24 24    0.006538      6.373   130.68   8.01    20.96    
named/stock-psearchy/mode-thread/order-seq/cores-28 28    0.00622306    5.73902 131.05   10.02   20.88    
named/stock-psearchy/mode-thread/order-seq/cores-32 32    0.00579325    5.39421 132.58   12.91   37.35    
named/stock-psearchy/mode-thread/order-seq/cores-36 36    0.00525729    5.28367 134.39   17.46   39.64    
named/stock-psearchy/mode-thread/order-seq/cores-40 40    0.00447181    5.59058 134.01   23.94   69.41    
named/stock-psearchy/mode-thread/order-seq/cores-44 44    0.00403854    5.62759 134.87   30.04   86.02    
named/stock-psearchy/mode-thread/order-seq/cores-48 48    0.00343006    6.07376 136.45   41.01   129.35   


