# guk-exim
# path                  cores messages/sec/core real    user/message sys/message idle/message 
named/guk-postgres/randomWritePct-0/lwScale-False/lockScale-False/lockPartitions-16/cores-36 36    14465.8          15.0297 6.64188e-05 1.0451e-06  2.08254e-06 
named/guk-postgres/randomWritePct-0/lwScale-False/lockScale-False/lockPartitions-16/cores-40 40    9552.1           15.0306 0.000100382 1.28854e-06 3.5191e-06  
named/guk-postgres/randomWritePct-0/lwScale-False/lockScale-False/lockPartitions-16/cores-44 44    4442.45          15.0179 0.000216228 2.03031e-06 7.43311e-06 
named/guk-postgres/randomWritePct-0/lwScale-False/lockScale-False/lockPartitions-16/cores-48 48    4933.18          15.0185 0.00019077  2.51668e-06 9.45653e-06 


# guk-postgres/randomWritePct-0/lwScale-True/lockScale-True/lockPartitions-1024
# path                                                                                       cores queries/sec/core real    user/query  sys/query   idle/query  
named/guk-postgres/randomWritePct-0/lwScale-True/lockScale-True/lockPartitions-1024/cores-1  1     22557.9          15.0202 4.21163e-05 5.90277e-07 1.56423e-06 
named/guk-postgres/randomWritePct-0/lwScale-True/lockScale-True/lockPartitions-1024/cores-4  4     21599            15.0178 4.40933e-05 7.3219e-07  1.61082e-06 
named/guk-postgres/randomWritePct-0/lwScale-True/lockScale-True/lockPartitions-1024/cores-8  8     21024.4          15.0318 4.5189e-05  8.1083e-07  1.81547e-06 
named/guk-postgres/randomWritePct-0/lwScale-True/lockScale-True/lockPartitions-1024/cores-12 12    20728.8          15.0222 4.59067e-05 7.60026e-07 1.82513e-06 
named/guk-postgres/randomWritePct-0/lwScale-True/lockScale-True/lockPartitions-1024/cores-16 16    20305.8          15.0148 4.6718e-05  9.61418e-07 1.86339e-06 
named/guk-postgres/randomWritePct-0/lwScale-True/lockScale-True/lockPartitions-1024/cores-20 20    19642.4          15.0233 4.83762e-05 9.89517e-07 1.82654e-06 
named/guk-postgres/randomWritePct-0/lwScale-True/lockScale-True/lockPartitions-1024/cores-24 24    19395.6          15.0306 4.9042e-05  9.04717e-07 1.91663e-06 
named/guk-postgres/randomWritePct-0/lwScale-True/lockScale-True/lockPartitions-1024/cores-28 28    18654.6          15.0156 5.11521e-05 8.87407e-07 1.89977e-06 
named/guk-postgres/randomWritePct-0/lwScale-True/lockScale-True/lockPartitions-1024/cores-32 32    17966.8          15.0248 5.32372e-05 8.74013e-07 1.91357e-06 
named/guk-postgres/randomWritePct-0/lwScale-True/lockScale-True/lockPartitions-1024/cores-36 36    17614.4          15.0505 5.43442e-05 9.37782e-07 1.89966e-06 
named/guk-postgres/randomWritePct-0/lwScale-True/lockScale-True/lockPartitions-1024/cores-40 40    16792.4          15.0288 5.70789e-05 9.23248e-07 1.95744e-06 
named/guk-postgres/randomWritePct-0/lwScale-True/lockScale-True/lockPartitions-1024/cores-44 44    16364            15.0494 5.85845e-05 9.76393e-07 1.9574e-06  
named/guk-postgres/randomWritePct-0/lwScale-True/lockScale-True/lockPartitions-1024/cores-48 48    16161.2          15.0196 5.95043e-05 9.10631e-07 1.97403e-06 


# guk-postgres/randomWritePct-5/lwScale-False/lockScale-False/lockPartitions-16
# path                                                                                       cores queries/sec/core real    user/query  sys/query   idle/query  
