spec_int1992_id,processor_id,hw_avail,test_sponsor,hw_model,basemean,peakmean,008_espresso,022_li,023_eqntott,026_compress,072_sc,085_gcc,link
145,507,,SNI,PCD-5T 60,63.9,65.9,51.5,74.1,66.7,36.5,164.1,44.8,http://performance.netlib.org/performance/html/spec.sni5t60.cint92.12_94.notes.html#{Siemens Nixdorf Informationssysteme PCD-5T 60  60 MHz Pentium}
146,507,,Intel,Xbase 8TE8F BX,60.4,63.3,58.4,77.7,62.5,36.0,86.5,55.0,http://performance.netlib.org/performance/html/spec.ipn60.cint92.6_94.notes.html#{Intel Corporation Xpress Deskside (Pentium-510\60) Pentium Processor 510\60}
147,507,,Intel,Xpress Desktop,66.9,70.4,54.6,76.0,63.6,40.5,164.7,50.8,http://performance.netlib.org/performance/html/spec.i1cint92.cint92.12_94.notes.html#{Intel Corporation Xpress Desktop(Pentium-510\60) Pentium Processor 510\60}
148,508,,Intel,Xbase 8TE8F BX,67.0,70.2,64.9,86.1,69.2,39.8,96.0,61.1,http://performance.netlib.org/performance/html/spec.ipn667.cint92.6_94.notes.html#{Intel Corporation Xpress Deskside(Pentium-567\66) Pentium Processor 567\66 }
149,508,,Intel,Xpress Desktop,74.6,78.0,60.9,85.1,70.1,44.9,184.9,57.2,http://performance.netlib.org/performance/html/spec.i2cint92.cint92.12_94.notes.html#{Intel Corporation Xpress Desktop(Pentium-567\66) Pentium Processor 567\66}
150,509,,Intel,Xxpress Deskside,85.0,89.1,66.2,92.0,84.0,52.6,214.7,65.5,http://performance.netlib.org/performance/html/spec.i61075.cint92.6_95.notes.html#{Intel Corporation Xxpress Deskside (610\75; 512KB L2) Pentium Processor 610\75}
151,509,,Intel,Xpress Desktop,79.0,83.8,65.4,91.3,75.3,45.3,194.4,61.1,http://performance.netlib.org/performance/html/spec.i3cint92.cint92.12_94.notes.html#{Intel Corporation Xpress Desktop(Pentium-610\75) Pentium Processor 610\75}
152,510,,SNI,PCE-5S (90),82.9,86.3,77.7,111.9,92.4,45.6,126.5,70.0,http://performance.netlib.org/performance/html/spec.snpce_90.cint92.9_94.notes.html#{Siemens Nixdorf Informationssysteme PCE-5S (90) 90 MHz Pentium}
153,510,,SNI,PCD-5T 90,83.0,86.0,71.2,103.0,89.4,44.0,208.8,54.3,http://performance.netlib.org/performance/html/spec.sni5t90.cint92.12_94.notes.html#{Siemens Nixdorf Informationssysteme  PCD-5T 90  90 MHz Pentium}
154,510,,Intel,Xbase 8TE8F BX,85.4,90.1,84.1,111.7,91.7,47.9,125.5,74.9,http://performance.netlib.org/performance/html/spec.ipn73590.cint92.6_94.notes.html#{Intel Corporation Xpress Deskside(Pentium-735\90) Pentium Processor 735\90}
155,510,,Intel,Xtended Xpress,99.5,104.5,79.4,109.9,99.1,61.3,248.9,73.6,http://performance.netlib.org/performance/html/spec.i73590.cint92.3_95.notes.html#{Intel Corporation XXpress Deskside (Pentium-735\90) Pentium Processor 735\90}
156,510,,Intel,Xxpress Deskside,101.0,106.5,79.4,110.1,99.1,61.6,253.1,78.7,http://performance.netlib.org/performance/html/spec.i73590.cint92.6_95.notes.html#{Intel Corporation Xxpress Deskside (735\90; 512KB L2) Pentium Processor 735\90}
157,510,,Intel,Xpress Desktop,96.1,100.9,78.5,109.9,92.4,53.8,243.5,75.3,http://performance.netlib.org/performance/html/spec.intel735.cint92.12_94.notes.html#{Intel Corporation Xpress Desktop(Pentium-735\90) Pentium Processor 735\90}
