spec_int1992_id,processor_id,hw_avail,test_sponsor,hw_model,basemean,peakmean,008_espresso,022_li,023_eqntott,026_compress,072_sc,085_gcc,link
17,157,,Digital,Digital AlphaServer 1000 4/266,178.5,197.5,168.1,120.6,289.5,100.0,435.6,126.4,http://performance.netlib.org/performance/html/spec.d14266i.cint92.12_95.notes.html#{Digital Equipment Corporation Digital AlphaServer 1000 4/266 266MHz 21064A}
18,157,,Digital,AlphaStation 250 4/266,182.6,198.6,166.9,133.0,289.5,101.8,448.5,126.4,http://performance.netlib.org/performance/html/spec.dec25466.cint92.6_95.notes.html#{Digital Equipment Corporation AlphaStation 250 4/266 266MHz 21064A}
19,157,,Digital,Digital AlphaServer 1000A 4/266,178.5,197.5,168.1,120.6,289.5,100.0,435.6,126.4,http://performance.netlib.org/performance/html/spec.I00286.cint92.4_96.notes.html#{Digital Equipment Corporation Digital AlphaServer 1000A 4/266 266MHz 21064A}
20,158,,Digital,DEC 3000 Model 900,178.4,189.3,170.7,127.3,305.6,101.1,365.3,131.6,http://performance.netlib.org/performance/html/spec.dec3-900.cint92.9_94.notes.html#{Digital Equipment Corporation DEC 3000 Model 900 275MHz 21064A}
21,158,,Digital,AlphaPC 64,189.1,206.2,172.0,137.4,305.6,106.1,462.2,129.1,http://performance.netlib.org/performance/html/spec.decpc64.cint92.9_95.notes.html#{Digital Equipment Corporation AlphaPC 64 275MHz 21064A}
22,158,,Digital,DEC 7000 Model 710,180.0,193.8,172.0,131.8,305.6,103.4,356.7,133.2,http://performance.netlib.org/performance/html/spec.dec7-710.cint92.9_94.notes.html#{Digital Equipment Corporation DEC 7000 Model 710 275MHz 21064A}
23,158,,Digital,DEC 7000 Model 710,180.0,200.5,172.0,131.8,305.6,103.4,356.7,133.2,http://performance.netlib.org/performance/html/spec.dec7710.cint92.12_94.notes.html#{Digital Equipment Corporation DEC 7000 Model 710 275MHz 21064A}
24,158,,Digital,AlphaServer 2100 4/275,176.5,200.1,170.7,127.3,297.3,98.9,365.3,129.4,http://performance.netlib.org/performance/html/spec.dec4275.cint92.12_94.notes.html#{Digital Equipment Corporation AlphaServer 2100 4/275 275MHz 21064A}
25,158,,Digital,AlphaServer 2100 4/275,187.8,202.9,172.0,137.1,297.3,100.7,462.2,134.5,http://performance.netlib.org/performance/html/spec.dec21475.cint92.6_95.notes.html#{Digital Equipment Corporation AlphaServer 2100 4/275 275MHz 21064A}
26,160,,Digital,Digital AXPvme230,88.7,100.1,93.0,56.1,189.7,47.7,196.1,52.6,http://performance.netlib.org/performance/html/spec.dvme230i.cint92.12_95.notes.html#{Digital Equipment Corporation Digital AXPvme230 231MHz 21066A}
27,161,,Digital,Digital AXPpci33S,91.2,100.1,87.0,60.3,196.4,53.4,199.6,52.6,http://performance.netlib.org/performance/html/spec.dpci33i.cint92.12_95.notes.html#{Digital Equipment Corporation Digital AXPpci33 233MHz 21066A}
28,161,,Digital,Digital EB66+,96.4,104.8,91.9,62.0,207.5,57.9,208.8,56.2,http://performance.netlib.org/performance/html/spec.deceb66.cint92.9_95.notes.html#{Digital Equipment Corporation Digital EB66+ 233MHz LCA45}
29,162,,Digital,Digital AXPvme100,44.3,50.4,44.3,29.0,85.3,24.3,103.0,27.5,http://performance.netlib.org/performance/html/spec.dvme100i.cint92.12_95.notes.html#{Digital Equipment Corporation Digital AXPvme100 99MHz 21066A}
30,163,,Digital,AlphaServer 2100 5/250,244.8,277.0,216.2,221.0,354.8,133.2,545.8,174.4,http://performance.netlib.org/performance/html/spec.dec21550.cint92.6_95.notes.html#{Digital Equipment Corporation AlphaServer 2100 5/250 250MHz 21164}
31,164,,Digital,AlphaStation 600 5/266,257.1,289.0,222.5,224.2,366.7,141.3,580.8,192.3,http://performance.netlib.org/performance/html/spec.dec5266.cint92.9_95.notes.html#{Digital Equipment Corporation AlphaStation 600 5/266 266MHz 21164}
32,164,,Digital,AlphaStation 600 5/266,265.9,288.6,231.6,234.3,379.3,147.3,588.3,197.8,http://performance.netlib.org/performance/html/spec.dec85266.cint92.3_95.notes.html#{Digital Equipment Corporation AlphaStation 600 5/266 266MHz 21164}
33,164,,Digital,AlphaStation 600 5/266,277.7,329.0,236.5,242.6,478.3,140.6,566.3,210.0,http://performance.netlib.org/performance/html/spec.I00245.cint92.4_96.notes.html#{Digital Equipment Corporation AlphaStation 600 5/266 266MHz 21164}
34,165,,Digital,Digital AlphaServer 2100 5/300,283.6,319.3,249.5,249.4,392.9,151.4,656.5,214.1,http://performance.netlib.org/performance/html/spec.d21530i.cint92.12_95.notes.html#{Digital Equipment Corporation Digital AlphaServer 2100 5/300 291MHz 21164}
35,165,,Digital,Digital AlphaServer 2100A 5/300,283.6,319.3,249.5,249.4,392.9,151.4,656.5,214.1,http://performance.netlib.org/performance/html/spec.I00259.cint92.4_96.notes.html#{Digital Equipment Corporation Digital AlphaServer 2100A 5/300 291MHz 21164}
36,166,,Digital,AlphaServer 8200 5/300,314.4,341.4,264.0,265.4,440.0,175.3,742.6,240.5,http://performance.netlib.org/performance/html/spec.dec82500.cint92.6_95.notes.html#{Digital Equipment Corporation AlphaServer 8200 5/300 300MHz 21164}
37,166,,Digital,AlphaServer 8400 5/300,314.4,341.4,264.0,265.4,440.0,175.3,742.6,240.5,http://performance.netlib.org/performance/html/spec.dec84500.cint92.6_95.notes.html#{Digital Equipment Corporation AlphaServer 8400 5/300 300MHz 21164}
38,166,,Digital,AlphaStation 600 5/300,279.8,337.8,246.7,251.4,423.1,130.7,666.2,210.0,http://performance.netlib.org/performance/html/spec.dec5300.cint92.9_95.notes.html#{Digital Equipment Corporation AlphaStation 600 5/300 300MHz 21164}
39,167,,Digital,Digital EB164,329.2,365.2,287.3,287.5,478.3,173.1,781.0,238.4,http://performance.netlib.org/performance/html/spec.deb164i.cint92.12_95.notes.html#{Digital Equipment Corporation Digital EB164 333 MHz 21164}
40,167,,Digital,AlphaStation 600 5/333,341.7,412.4,294.8,305.9,578.9,178.7,696.9,244.8,http://performance.netlib.org/performance/html/spec.I00249.cint92.4_96.notes.html#{Digital Equipment Corporation AlphaStation 600 5/333 333MHz 21164}
41,168,,Digital,AlphaServer 8000 5/350,356.4,405.9,311.0,298.6,500.0,185.9,838.9,282.9,http://performance.netlib.org/performance/html/spec.d8350i.cint92.12_95.notes.html#{Digital Equipment Corporation AlphaServer 8000 5/350 350MHz 21164}
42,168,,Digital,AlphaServer 8200 5/350,372.2,432.8,315.3,321.8,611.1,192.4,767.8,290.4,http://performance.netlib.org/performance/html/spec.I00244.cint92.4_96.notes.html#{Digital Equipment Corporation AlphaServer 8200 5/350 350MHz 21164}
43,168,,Digital,AlphaServer 8400 5/350,372.2,432.8,315.3,321.8,611.1,192.4,767.8,290.4,http://performance.netlib.org/performance/html/spec.I00295.cint92.4_96.notes.html#{Digital Equipment Corporation AlphaServer 8400 5/350 350MHz 21164}
44,201,,Sun,SPARCstation/server 5/110,68.7,78.6,71.8,60.1,89.4,40.9,136.0,49.0,http://performance.netlib.org/performance/html/spec.sun511_1.cint92.6_95.notes.html#{Sun Microsystems; Inc. SPARCstation/server 5/110 110MHz microSPARC-II}
45,202,,Sun,SPARCstation Voyager,42.5,47.5,41.7,38.9,77.5,27.1,52.9,32.6,http://performance.netlib.org/performance/html/spec.sun60mcr.cint92.6_94.notes.html#{Sun Microsystems Inc. SPARCstation Voyager 60MHz microSPARC II}
46,202,,PFU,S-4/Leia2,48.2,52.0,42.4,40.9,93.2,28.1,90.2,30.7,http://performance.netlib.org/performance/html/spec.fujts460.cint92.6_95.notes.html#{Fujitsu Limited S-4/Leia2 60MHz microSPARC II}
47,203,,Sun,SPARCstation/server 5,49.8,57.0,48.8,47.7,89.4,30.5,62.6,38.5,http://performance.netlib.org/performance/html/spec.sun70mcr.cint92.6_94.notes.html#{Sun Microsystems Inc. SPARCstation/server 5 (70MHz) 70MHz microSPARC II}
48,204,,Sun,SPARCstation/server 5,56.3,64.1,56.6,54.0,102.8,34.6,69.8,42.0,http://performance.netlib.org/performance/html/spec.sun85mcr.cint92.6_94.notes.html#{Sun Microsystems Inc. SPARCstation/server 5 (85MHz) 85MHz microSPARC II}
49,204,,Sun,SPARCstation/server 4/85,57.3,65.3,57.5,49.6,74.8,34.6,113.5,42.1,http://performance.netlib.org/performance/html/spec.sun485_1.cint92.6_95.notes.html#{Sun Microsystems; Inc. SPARCstation/server 4/85 85MHz microSPARC-II}
50,232,,HAL Computer Systems,330,160.8,181.4,130.5,146.5,343.8,58.8,338.1,132.5,http://performance.netlib.org/performance/html/spec.hal320.cint92.12_95.notes.html#{HAL Computer Systems Fujitsu HALstation 330 100MHz SPARC64}
51,233,,HAL Computer Systems,350,188.8,212.6,153.4,172.5,407.4,67.9,397.4,155.6,http://performance.netlib.org/performance/html/spec.hal350.cint92.12_95.notes.html#{HAL Computer Systems Fujitsu HALstation 300 118MHz SPARC64}
52,237,,HP,720,51.6,64.0,46.3,46.3,91.7,36.3,67.1,39.6,http://performance.netlib.org/performance/html/spec.I00121.cint92.4_96.notes.html#{Hewlett-Packard HP 9000 Series 700 Model 720 50 MHz PA-RISC 7000}
53,238,,Hitachi,540,88.0,89.0,94.6,89.5,98.2,69.1,111.9,72.1,http://performance.netlib.org/performance/html/spec.h35-540.cint92.6_94.notes.html#{Hitachi; Ltd. Hitatchi 3500/540 100MHz PA-RISC 7100}
54,238,,Hitachi,550,94.0,95.4,94.2,89.6,108.9,82.9,117.4,77.1,http://performance.netlib.org/performance/html/spec.h35-550.cint92.6_94.notes.html#{Hitachi; Ltd. Hitatchi 3500/550 100MHz PA-RISC 7100}
55,238,,Hitachi,550,108.8,123.8,95.4,90.3,164.2,85.8,158.9,86.0,http://performance.netlib.org/performance/html/spec.ht350550.cint92.9_94.notes.html#{Hitachi Ltd.  Hitachi 3500/550 100MHz PA-RISC 7100}
56,238,,Hitachi,550,113.0,135.9,95.4,90.1,157.1,83.7,222.1,82.7,http://performance.netlib.org/performance/html/spec.hitac550.cint92.9_95.notes.html#{Hitachi; Ltd. 3500/550 100MHz PA-RISC 7100}
57,239,,HP,735/125,129.3,157.7,121.4,125.5,203.7,81.2,170.9,108.3,http://performance.netlib.org/performance/html/spec.7351i.cint92.12_95.notes.html#{Hewlett-Packard HP 9000 Series 700 Model 735/125 125 MHz PA-RISC 7100}
58,240,,Hitachi,510,40.3,40.9,44.8,43.0,46.0,29.1,50.5,32.8,http://performance.netlib.org/performance/html/spec.h35-510.cint92.6_94.notes.html#{Hitachi; Ltd. Hitatchi 3500/510 50MHz PA-RISC 7100}
59,240,,Hitachi,Model 220/320G,39.1,39.5,44.5,42.6,45.1,26.9,49.5,31.5,http://performance.netlib.org/performance/html/spec.hit3050b.cint92.6_94.notes.html#{Hitachi; Ltd. 3050RX Model 220/320G 50MHz PA-RISC 7100}
60,240,,Hitachi,520,45.8,46.3,47.2,44.6,51.6,37.8,56.9,39.5,http://performance.netlib.org/performance/html/spec.h35-520.cint92.6_94.notes.html#{Hitachi; Ltd. Hitatch3500/520 50MHz PA-RISC 7100}
61,241,,Hitachi,530,70.6,71.5,75.7,71.4,78.6,55.4,89.9,58.5,http://performance.netlib.org/performance/html/spec.h35-530.cint92.6_94.notes.html#{Hitachi; Ltd. Hitatchi 3500/530 80MHz PA-RISC 7100}
62,241,,Hitachi,Model 230/330G/330T,68.9,69.0,74.9,71.3,76.9,52.5,88.5,56.1,http://performance.netlib.org/performance/html/spec.h3050.cint92.6_94.notes.html#{Hitachi; Ltd. 3050RX Model 230/330G/330T 80MHz PA-RISC 7100}
63,242,,Hewlett Packard,T500,107.2,115.1,85.3,97.6,144.7,78.5,202.2,79.5,http://performance.netlib.org/performance/html/spec.hp9t500.cint92.3_95.notes.html#{Hewlett Packard Company Hewlett Packard 9000 Model T500 90 MHz PA-RISC 7100}
64,238,,HP,735/99,104.6,126.8,95.8,99.4,169.2,69.6,137.3,85.2,http://performance.netlib.org/performance/html/spec.7359i.cint92.12_95.notes.html#{Hewlett-Packard HP 9000 Series 700 Model 735/99 99 MHz PA-RISC 7100}
65,244,,Hewlett-Packard,E25,45.5,50.1,40.6,39.2,65.9,30.2,85.8,32.7,http://performance.netlib.org/performance/html/spec.hpe25.cint92.12_94.notes.html#{Hewlett-Packard HP9000 Model E25 48MHZ PA-RISC 7100LC}
66,243,,HP,715/100,95.5,115.0,93.8,95.4,154.9,57.3,119.5,79.9,http://performance.netlib.org/performance/html/spec.7151i.cint92.12_95.notes.html#{Hewlett-Packard HP 9000 Series 700 Model 715/100 100 MHz PA-RISC 7100LC}
67,243,,HP,715/100XC,126.9,132.2,95.8,133.0,180.3,84.2,239.7,90.1,http://performance.netlib.org/performance/html/spec.715xi.cint92.12_95.notes.html#{Hewlett-Packard HP 9000 Series 700 Model 715/100XC 100 MHz PA-RISC 7100LC}
68,243,,Hewlett-Packard,715/100,89.7,99.6,91.9,91.5,117.0,59.7,113.5,78.3,http://performance.netlib.org/performance/html/spec.hp715100.cint92.9_94.notes.html#{Hewlett-Packard HP 9000 Series 700 Model 715/100 100MHz PA-RISC 7100LC}
69,243,,Hewlett-Packard,715/100,100.0,109.6,92.7,94.1,129.4,60.6,186.4,78.2,http://performance.netlib.org/performance/html/spec.hp715100.cint92.12_94.notes.html#{Hewlett-Packard HP 9000 Series 700 Model 715/100 100MHz PA-RISC 7100LC}
70,243,,Hitachi,545,106.7,128.7,93.8,81.1,157.1,76.1,206.8,78.3,http://performance.netlib.org/performance/html/spec.hitac545.cint92.9_95.notes.html#{Hitachi; Ltd. 3500/545 100MHz PA-RISC 7100LC}
71,245,,HP,712/60,55.3,67.3,52.7,52.7,98.2,35.2,67.2,44.2,http://performance.netlib.org/performance/html/spec.7126i.cint92.12_95.notes.html#{Hewlett-Packard HP 9000 Series 700 Model 712/60 60 MHz PA-RISC 7100LC}
72,245,,Hewlett-Packard,712/60,51.8,58.1,52.2,49.3,74.3,34.8,64.9,44.9,http://performance.netlib.org/performance/html/spec.hp712-60.cint92.9_94.notes.html#{Hewlett-Packard HP 9000 Series 700 Model 712/60 60MHz PA-RISC 7100LC}
73,245,,Hewlett-Packard,712/60,58.4,64.0,52.7,50.3,84.0,36.8,108.6,44.7,http://performance.netlib.org/performance/html/spec.hp71260.cint92.12_94.notes.html#{Hewlett-Packard HP 9000 Series 700 Model 712/60 60MHz PA-RISC 7100LC}
74,245,,Hitachi,225,55.1,65.2,55.2,47.1,85.9,36.1,74.4,46.8,http://performance.netlib.org/performance/html/spec.ht305225.cint92.9_94.notes.html#{Hitachi Hitachi 3050RX/225 60MHz PA-RISC 7100LC}
75,245,,Hitachi,525,56.7,66.5,55.5,47.5,90.9,36.9,79.6,47.2,http://performance.netlib.org/performance/html/spec.ht350525.cint92.9_94.notes.html#{Hitachi Ltd. Hitachi 3500/525 60MHz PA-RISC 7100LC}
76,245,,Hitachi,525,60.6,73.0,55.6,47.5,89.4,40.0,113.0,46.3,http://performance.netlib.org/performance/html/spec.hitac525.cint92.9_95.notes.html#{Hitachi; Ltd. 3500/525 60MHz PA-RISC 7100LC}
77,246,,Hewlett-Packard,715/64,60.1,66.6,59.1,59.4,79.1,42.6,75.0,52.9,http://performance.netlib.org/performance/html/spec.hp71564.cint92.9_94.notes.html#{Hewlett-Packard HP 9000 Series 700 Model 715/64 64MHz PA-RISC 7100LC}
78,246,,Hewlett-Packard,715/64,66.8,73.2,59.6,61.0,88.7,42.4,124.1,52.5,http://performance.netlib.org/performance/html/spec.hp71564.cint92.12_94.notes.html#{Hewlett-Packard HP 9000 Series 700 Model 715/64 64MHz PA-RISC 7100LC}
79,246,,Hewlett-Packard,E35,66.1,73.1,58.8,58.0,92.4,44.4,125.5,47.6,http://performance.netlib.org/performance/html/spec.hpe35.cint92.12_94.notes.html#{Hewlett-Packard HP9000 Model E35 64MHz PA-RISC 7100LC}
80,248,,HP,712/80,80.9,99.0,76.2,76.6,137.5,51.5,101.8,66.7,http://performance.netlib.org/performance/html/spec.7128i.cint92.12_95.notes.html#{Hewlett-Packard HP 9000 Series 700 Model 712/80 80 MHz PA-RISC 7100LC}
81,248,,Hitachi,235,77.6,91.1,74.2,64.7,118.3,51.7,116.5,64.0,http://performance.netlib.org/performance/html/spec.ht305235.cint92.9_94.notes.html#{Hitachi; Ltd. Hitachi 3050RX/235 80MHz PA-RISC 7100LC}
82,248,,Hitachi,535,78.1,91.1,74.7,64.7,120.9,52.5,117.1,63.2,http://performance.netlib.org/performance/html/spec.ht350535.cint92.9_94.notes.html#{Hitachi Ltd. Hitachi 3500/535 80MHz PA-RISC 7100LC}
83,248,,Hitachi,535,82.4,100.3,74.9,64.6,120.9,54.5,158.4,61.9,http://performance.netlib.org/performance/html/spec.hitac535.cint92.9_95.notes.html#{Hitachi; Ltd 3500/535 80MHz PA-RISC 7100LC}
84,248,,Hewlett-Packard,712/80,76.6,84.3,74.7,75.7,100.9,53.7,97.0,68.0,http://performance.netlib.org/performance/html/spec.hp712-80.cint92.9_94.notes.html#{Hewlett-Packard HP 9000 Series 700 Model 712/80 80MHz PA-RISC 7100LC}
85,248,,Hewlett-Packard,712/80,85.2,93.0,75.4,78.7,115.8,53.2,156.2,67.1,http://performance.netlib.org/performance/html/spec.hp71280.cint92.12_94.notes.html#{Hewlett-Packard HP 9000 Series 700 Model 712/80 80MHz PA-RISC 7100LC}
86,248,,Hewlett-Packard,E45,74.5,82.1,74.2,74.5,101.9,54.9,84.0,65.9,http://performance.netlib.org/performance/html/spec.hpcae45.cint92.9_94.notes.html#{Hewlett-Packard HP 9000 Model E45 80MHz PA-RISC 7100LC}
87,248,,Hewlett-Packard,715/80,75.0,83.5,73.9,74.0,99.1,52.9,94.0,66.2,http://performance.netlib.org/performance/html/spec.hp715-80.cint92.9_94.notes.html#{Hewlett-Packard HP 9000 Series 700 Model 715/80 80MHz PA-RISC 7100LC}
88,248,,Hewlett-Packard,715/80,85.2,93.0,75.4,78.7,115.8,53.2,156.2,67.1,http://performance.netlib.org/performance/html/spec.hp71580.cint92.12_94.notes.html#{Hewlett-Packard HP 9000 Series 700 Model 715/80 80MHz PA-RISC 7100LC}
89,248,,Hewlett-Packard,E45,84.1,92.5,73.7,74.5,114.6,54.7,155.7,65.9,http://performance.netlib.org/performance/html/spec.hpe45.cint92.12_94.notes.html#{Hewlett-Packard HP9000 Model E45 80MHz PA-RISC 7100LC}
90,249,,Hewlett-Packard,E55,96.1,108.0,89.7,92.5,129.4,78.5,111.9,83.6,http://performance.netlib.org/performance/html/spec.hpcae55.cint92.9_94.notes.html#{Hewlett-Packard HP 9000 Model E55 96MHz PA-RISC 7100LC}
91,249,,Hewlett-Packard,E55,108.3,118.9,89.0,90.3,150.7,77.6,205.9,83.6,http://performance.netlib.org/performance/html/spec.hpe55.cint92.12_94.notes.html#{Hewlett-Packard HP9000 Model E55 96MHz PA-RISC 7100LC}
92,251,,Hewlett-Packard,735/125,123.8,135.7,119.5,131.6,159.4,83.7,156.7,109.6,http://performance.netlib.org/performance/html/spec.hp735125.cint92.9_94.notes.html#{Hewlett-Packard HP 9000 Series 700 Model 735/125 125MHz PA-RISC 7150}
93,251,,Hewlett-Packard,735/125,138.5,149.4,120.1,136.8,169.2,82.7,268.0,114.7,http://performance.netlib.org/performance/html/spec.hp735125.cint92.12_94.notes.html#{Hewlett-Packard HP 9000 Series 700 Model 735/125 125MHz PA-RISC 7150}
94,252,,Hewlett-Packard,735/99,111.9,119.7,95.0,108.2,139.2,69.3,214.7,92.2,http://performance.netlib.org/performance/html/spec.hp73599.cint92.12_94.notes.html#{Hewlett-Packard HP 9000 Series 700 Model 735/99 99MHz PA-RISC 7150}
95,253,,HP,J200,116.7,141.1,102.7,108.4,177.4,81.7,155.1,101.1,http://performance.netlib.org/performance/html/spec.j200i.cint92.12_95.notes.html#{Hewlett-Packard HP 9000 Model J200 100 MHz PA-RISC 7200}
96,253,,Hewlett-Packard,K400,113.4,136.7,98.7,110.5,174.6,78.2,151.0,94.6,http://performance.netlib.org/performance/html/spec.hp9k4_1.cint92.6_95.notes.html#{Hewlett-Packard Company HP9000 Model K400 100 MHz PA-RISC 7200}
97,253,,Hewlett-Packard,C100,117.3,141.0,102.7,108.9,177.4,81.7,159.5,100.6,http://performance.netlib.org/performance/html/spec.c100i.cint92.12_95.notes.html#{Hewlett-Packard HP 9000 C100 100MHz PA-RISC 7200}
98,253,,Hitachi,540MP,108.2,127.9,98.3,94.5,134.1,69.8,213.7,86.5,http://performance.netlib.org/performance/html/spec.hit540_1.cint92.9_95.notes.html#{Hitachi; Ltd. 3500/540MP 100MHz PA-RISC 7200}
99,253,,Hitachi,640MP,108.2,127.9,98.3,94.5,134.1,69.8,213.7,86.5,http://performance.netlib.org/performance/html/spec.hit640_1.cint92.9_95.notes.html#{Hitachi; Ltd. 3500/640MP 100MHz PA-RISC 7200}
100,254,,HP,J210,140.3,169.6,123.4,130.7,211.5,98.6,186.4,121.9,http://performance.netlib.org/performance/html/spec.j210i.cint92.12_95.notes.html#{Hewlett-Packard HP 9000 Model J210 120 MHz PA-RISC 7200}
101,254,,Hewlett Packard,K410,139.0,167.4,122.7,132.7,211.5,94.9,189.5,116.4,http://performance.netlib.org/performance/html/spec.hpk411in.cint92.12_95.notes.html#{Hewlett Packard Company Hewlett Packard 9000 Model K410 120 MHz PA-RISC 7200}
102,254,,HP,J210XC,151.3,183.9,122.0,130.7,250.0,116.9,198.7,129.4,http://performance.netlib.org/performance/html/spec.I92HP1.cint92.7_96.notes.html#{Hewlett-Packard HP 9000 Model J210XC 120 MHz PA-RISC 7200}
103,254,,Hewlett-Packard,C110,140.6,170.2,123.4,132.7,215.7,97.2,189.5,119.0,http://performance.netlib.org/performance/html/spec.c110i.cint92.12_95.notes.html#{Hewlett-Packard HP 9000 C110 120MHz PA-RISC 7200}
104,278,,IBM,POWERstation 590,95.1,117.0,81.7,85.1,131.0,94.2,112.1,77.0,http://performance.netlib.org/performance/html/spec.i6-590.cint92.6_94.notes.html#{IBM Corporation RISC System/6000 POWERstation 590 66.67MHz POWER2}
105,281,,IBM,POWERserver 591,121.5,144.0,101.8,105.1,139.2,106.9,197.8,102.1,http://performance.netlib.org/performance/html/spec.ibmps591.cint92.9_95.notes.html#{IBM Corporation RISC System/6000 POWERserver 591 77 MHz POWER2}
106,312,,IBM,POWERstation 40P,62.1,76.0,60.2,59.3,80.9,38.6,96.8,53.0,http://performance.netlib.org/performance/html/spec.ibm40p2.cint92.12_94.notes.html#{IBM Corporation POWERstation 40P 66 MHz PowerPC}
107,312,,IBM,POWERstation 40P,62.1,76.0,60.2,59.3,80.9,38.6,96.8,53.0,http://performance.netlib.org/performance/html/spec.ibm40p2.cint92.3_95.notes.html#{IBM Corporation POWERstation 40P 66 MHz PowerPC}
108,312,,IBM,POWERstation 40P,52.4,64.2,55.4,53.4,71.0,29.4,84.0,40.2,http://performance.netlib.org/performance/html/spec.ibm40p.cint92.12_94.notes.html#{IBM Corporation POWERstation 40P 66 MHz PowerPC}
109,312,,IBM,POWERstation 40P,52.4,64.2,55.4,53.4,71.0,29.4,84.0,40.2,http://performance.netlib.org/performance/html/spec.ibm40p.cint92.3_95.notes.html#{IBM Corporation POWERstation 40P 66 MHz PowerPC}
110,312,,IBM,POWERstation 250,51.6,62.6,54.0,55.2,65.1,39.1,61.9,40.3,http://performance.netlib.org/performance/html/spec.i6-250.cint92.6_94.notes.html#{IBM Corporation RISC System/6000 POWERstation 250 66.67 MHz PowerPC}
111,313,,BULL,M101,68.1,88.1,66.2,64.6,93.2,46.7,90.8,58.9,http://performance.netlib.org/performance/html/spec.bullm101.cint92.9_95.notes.html#{BULL S.A. ESCALA 75MHz PowerPC 601}
112,313,,BULL,D201,63.6,75.8,55.5,65.3,87.3,51.0,72.6,56.3,http://performance.netlib.org/performance/html/spec.bulesc75.cint92.12_94.notes.html#{BULL S.A.  ESCALA 75MHz PowerPC 601}
113,313,,BULL,D201,69.6,85.0,67.2,66.9,98.2,52.4,93.8,52.3,http://performance.netlib.org/performance/html/spec.bullescl.cint92.6_95.notes.html#{BULL S.A. ESCALA 75MHz PowerPC 601}
114,313,,BULL,D201,72.5,93.8,67.0,65.9,97.3,53.5,97.6,64.7,http://performance.netlib.org/performance/html/spec.bulld201.cint92.9_95.notes.html#{BULL S.A. ESCALA 75MHz PowerPC 601}
115,316,,Motorola,E603-66P,48.0,60.6,55.2,38.4,79.1,29.7,78.5,31.1,http://performance.netlib.org/performance/html/spec.mo603662.cint92.3_95.notes.html#{Motorola; Inc. PowerStack 603 Series E 66MHz 603 Power PC}
116,316,,Motorola,E603-66P,50.7,63.7,56.3,39.9,84.0,32.5,82.7,33.7,http://performance.netlib.org/performance/html/spec.mo60366p.cint92.3_95.notes.html#{Motorola; Inc. PowerStack 603 Series E 66MHz 603 Power PC}
117,321,,IBM,POWERstation 43P-100,104.2,128.0,110.7,95.8,134.1,63.5,188.0,75.3,http://performance.netlib.org/performance/html/spec.ibm43p00.cint92.9_95.notes.html#{IBM Corporation RISC/6000 POWERstation 43P-100 100 MHz 604 }
118,321,,Motorola,DT604-100,106.6,130.6,111.3,106.3,127.9,67.7,180.5,79.2,http://performance.netlib.org/performance/html/spec.bl100604.cint92.12_95.notes.html#{BULL S.A. PowerStack RISC-PC 100MHz 604 PowerPC}
119,321,,Motorola,DT604-100,106.6,130.6,111.3,106.3,127.9,67.7,180.5,79.2,http://performance.netlib.org/performance/html/spec.motdt_1.cint92.12_95.notes.html#{Motorola; Inc. PowerStack RISC-PC 100MHz 604 PowerPC}
120,321,,Motorola,E604-100,106.4,129.3,111.8,107.8,127.9,67.7,176.3,78.8,http://performance.netlib.org/performance/html/spec.mote6_1.cint92.12_95.notes.html#{Motorola; Inc. PowerStack Series-E 100MHz 604 PowerPC}
