spec_int2006_id,processor_id,hw_avail,test_sponsor,hw_model,bus,sw_auto_parallel,basemean,peakmean,x400_perlbench,x401_bzip2,x403_gcc,x429_mcf,x445_gobmk,x456_hmmer,x458_sjeng,x462_libquantum,x464_h264ref,x471_omnetpp,x473_astar,x483_xalancbmk,link
513,680,2009-10-01,IBM Corporation,IBM System x3200 M3,0,true,29.5,34.0,23.0,15.1,26.6,46.9,21.1,22.3,25.0,185.0,31.8,23.4,16.6,37.0,http://www.spec.org/cpu2006/results/res2009q4/cpu2006-20091026-08995.html
514,680,2009-10-01,IBM Corporation,IBM System x3250 M3,0,true,29.5,34.0,23.0,15.1,26.8,47.2,21.2,22.5,25.0,185.0,31.8,23.3,16.6,37.0,http://www.spec.org/cpu2006/results/res2009q4/cpu2006-20091027-09011.html
515,680,2009-12-01,Bull SAS,NovaScale R410 F2,0,true,27.3,31.5,22.1,15.0,26.8,43.8,22.4,20.4,22.8,106.0,34.8,22.0,15.2,34.5,http://www.spec.org/cpu2006/results/res2009q4/cpu2006-20091204-09160.html
516,680,2009-12-01,Bull SAS,NovaScale T810 F2,0,true,27.7,32.0,22.4,15.3,27.4,44.3,22.7,20.7,23.1,108.0,35.2,22.2,15.3,35.4,http://www.spec.org/cpu2006/results/res2009q4/cpu2006-20091204-09173.html
517,680,2009-12-01,Bull SAS,NovaScale T820 F2,0,true,27.4,31.6,22.1,15.1,26.8,43.9,22.4,20.3,22.8,106.0,34.8,22.1,15.2,35.1,http://www.spec.org/cpu2006/results/res2009q4/cpu2006-20091204-09198.html
518,680,2010-01-01,Fujitsu,PRIMERGY RX100 S6,0,true,32.1,35.4,23.5,17.9,23.8,41.0,21.9,45.1,25.8,236.0,31.7,21.7,18.6,37.3,http://www.spec.org/cpu2006/results/res2010q1/cpu2006-20100118-09378.html
519,680,2010-01-01,Fujitsu,PRIMERGY TX150 S7,0,true,32.0,35.3,23.5,17.9,23.8,41.0,21.9,45.1,25.9,236.0,31.7,21.8,18.2,37.3,http://www.spec.org/cpu2006/results/res2010q1/cpu2006-20091218-09304.html
520,680,2010-01-01,NEC Corporation,Express5800/R110b-1,0,true,32.0,35.6,24.1,17.9,24.3,40.8,21.9,45.5,25.7,236.0,31.7,21.5,18.8,35.4,http://www.spec.org/cpu2006/results/res2010q1/cpu2006-20100228-09712.html
521,680,2010-01-01,NEC Corporation,Express5800/T110b,0,true,32.1,35.5,24.1,17.8,24.3,41.0,21.9,45.4,26.1,236.0,31.7,21.4,18.9,35.7,http://www.spec.org/cpu2006/results/res2010q1/cpu2006-20100228-09716.html
522,680,2010-02-01,Fujitsu,CELSIUS W380,0,true,32.4,35.8,23.6,18.0,24.3,41.8,21.9,44.9,26.1,235.0,31.7,22.3,18.6,38.4,http://www.spec.org/cpu2006/results/res2010q1/cpu2006-20100212-09664.html
523,680,2010-03-01,Supermicro,Motherboard X8SIT-F,0,true,32.7,35.7,25.5,18.1,24.4,40.8,22.8,47.9,26.2,236.0,32.5,21.8,18.7,36.7,http://www.spec.org/cpu2006/results/res2010q2/cpu2006-20100524-11161.html
524,680,2010-04-01,Supermicro,Motherboard X8SIU-F,0,true,32.8,35.8,25.6,18.1,24.2,41.0,22.6,48.1,26.3,239.0,32.5,21.8,18.8,36.8,http://www.spec.org/cpu2006/results/res2010q2/cpu2006-20100524-11193.html
525,681,2009-08-01,Dell Inc.,PowerEdge T110,0,true,28.2,32.6,23.0,15.5,27.5,44.7,23.3,21.2,23.7,109.0,36.1,22.4,15.7,36.2,http://www.spec.org/cpu2006/results/res2009q4/cpu2006-20091201-09126.html
526,681,2009-09-01,ASUSTeK Computer Inc.,ASUS RS100-E6  P7F-M  server system,0,true,31.0,35.7,24.9,17.0,30.7,49.6,25.2,23.1,25.8,120.0,39.3,25.0,17.2,39.8,http://www.spec.org/cpu2006/results/res2009q4/cpu2006-20091207-09217.html
