spec_fp2000_id,processor_id,hw_avail,test_sponsor,hw_model,bus,sw_auto_parallel,basemean,peakmean,168_wupwise,171_swim,172_mgrid,173_applu,177_mesa,178_galgel,179_art,183_equake,187_facerec,188_ammp,189_lucas,191_fma3d,200_sixtrack,301_apsi,link
1,26,2006-06-01,ASUS Computer International,Asus M2N32-SLI Deluxe TM  64 4200+,0,false,1456.0,1592.0,2440.0,2183.0,1328.0,1392.0,781.0,2322.0,2916.0,1556.0,1756.0,847.0,1666.0,1427.0,672.0,998.0,http://www.spec.org/cpu2000/results/res2006q3/cpu2000-20060725-06863.html
2,26,2006-06-01,ASUS Computer International,Asus M2N32-SLI Deluxe TM  64 4200+,0,false,1476.0,1610.0,2454.0,2274.0,1352.0,1410.0,788.0,2360.0,2966.0,1583.0,1767.0,855.0,1691.0,1443.0,673.0,1006.0,http://www.spec.org/cpu2000/results/res2006q3/cpu2000-20060904-07204.html
3,27,2006-06-01,ASUS Computer International,Asus M2N32-SLI Deluxe TM  64 5000+,0,false,1631.0,1786.0,2797.0,2325.0,1496.0,1532.0,928.0,2593.0,3159.0,1712.0,1983.0,939.0,1806.0,1628.0,792.0,1120.0,http://www.spec.org/cpu2000/results/res2006q3/cpu2000-20060725-06878.html
4,27,2006-06-01,ASUS Computer International,Asus M2N32-SLI Deluxe TM  64 5000+,0,false,1652.0,1809.0,2814.0,2431.0,1529.0,1554.0,921.0,2626.0,3214.0,1740.0,1998.0,946.0,1839.0,1647.0,792.0,1132.0,http://www.spec.org/cpu2000/results/res2006q3/cpu2000-20060904-07212.html
5,25,2006-06-01,ASUS Computer International,Asus M2N32-SLI Deluxe TM  64 FX-62,0,false,1944.0,2133.0,3051.0,2758.0,1794.0,1701.0,998.0,3239.0,5064.0,1906.0,2229.0,1284.0,2052.0,1790.0,855.0,1531.0,http://www.spec.org/cpu2000/results/res2006q3/cpu2000-20060725-06841.html
6,25,2006-06-01,ASUS Computer International,Asus M2N32-SLI Deluxe TM  64 FX-62,0,false,1945.0,2134.0,3052.0,2757.0,1795.0,1701.0,1000.0,3237.0,5058.0,1904.0,2228.0,1282.0,2052.0,1799.0,856.0,1531.0,http://www.spec.org/cpu2000/results/res2006q3/cpu2000-20060904-07196.html
7,518,2005-09-01,Acer Incorporated,Acer Altos G320,800,false,1763.0,1763.0,2474.0,2652.0,1381.0,1484.0,1317.0,3196.0,4494.0,2627.0,1829.0,1094.0,2089.0,1410.0,599.0,1187.0,http://www.spec.org/cpu2000/results/res2005q4/cpu2000-20051031-05016.html
8,524,2005-09-01,Acer Incorporated,Acer Altos G320,800,false,2089.0,2091.0,2912.0,2794.0,1680.0,1747.0,1661.0,3926.0,5142.0,3006.0,2181.0,1308.0,2405.0,1665.0,758.0,1448.0,http://www.spec.org/cpu2000/results/res2005q4/cpu2000-20051031-05017.html
9,79,2005-06-01,Acer Incorporated,Altos G5350  AMD  TM,0,false,1955.0,2119.0,2784.0,2586.0,1746.0,2099.0,2022.0,3216.0,2556.0,1674.0,2350.0,1491.0,2076.0,1641.0,832.0,1630.0,http://www.spec.org/cpu2000/results/res2005q3/cpu2000-20050724-04389.html
10,76,2005-07-01,Acer Incorporated,Altos G5350  TM  246,0,false,1413.0,1526.0,2176.0,1978.0,1287.0,1245.0,758.0,2346.0,3589.0,1405.0,1585.0,960.0,1563.0,1264.0,609.0,1115.0,http://www.spec.org/cpu2000/results/res2005q4/cpu2000-20051031-05011.html
11,80,2005-07-01,Acer Incorporated,Altos G5350  TM  254,0,false,1753.0,1906.0,2769.0,2124.0,1640.0,1442.0,1052.0,2926.0,4272.0,1630.0,2011.0,1227.0,1769.0,1595.0,846.0,1472.0,http://www.spec.org/cpu2000/results/res2005q4/cpu2000-20051030-05005.html
12,22,2004-10-01,Advanced Micro Devices,MSI K8N Neo2 Platinum Motherboard TM  64 FX-55,0,false,1695.0,1878.0,1915.0,2320.0,1606.0,1754.0,1575.0,2874.0,1848.0,1570.0,2004.0,1532.0,1583.0,1542.0,792.0,1661.0,http://www.spec.org/cpu2000/results/res2004q4/cpu2000-20041115-03582.html
13,68,2003-07-01,Advanced Micro Devices,A4800,0,false,1070.0,1154.0,1005.0,1724.0,975.0,944.0,1341.0,1501.0,1248.0,1026.0,1246.0,948.0,1195.0,1076.0,441.0,944.0,http://www.spec.org/cpu2000/results/res2003q2/cpu2000-20030421-02086.html
14,68,2003-07-01,Advanced Micro Devices,A4800,0,false,1093.0,1168.0,1010.0,1745.0,1017.0,953.0,1339.0,1567.0,1260.0,1042.0,1253.0,963.0,1269.0,1081.0,445.0,1005.0,http://www.spec.org/cpu2000/results/res2003q2/cpu2000-20030421-02098.html
15,66,2003-07-01,Advanced Micro Devices,A4800,0,false,934.0,1012.0,944.0,1509.0,863.0,802.0,974.0,1305.0,1222.0,794.0,1055.0,891.0,1230.0,913.0,351.0,851.0,http://www.spec.org/cpu2000/results/res2003q2/cpu2000-20030421-02105.html
16,68,2003-07-01,Advanced Micro Devices,A4800,0,false,1122.0,1219.0,1156.0,1691.0,1062.0,921.0,1247.0,1552.0,1394.0,913.0,1279.0,1117.0,1415.0,1108.0,449.0,1058.0,http://www.spec.org/cpu2000/results/res2003q2/cpu2000-20030421-02109.html
17,67,2003-07-01,Advanced Micro Devices,A4800,0,false,1029.0,1120.0,1053.0,1583.0,968.0,868.0,1111.0,1446.0,1304.0,851.0,1170.0,1006.0,1327.0,1008.0,400.0,956.0,http://www.spec.org/cpu2000/results/res2003q2/cpu2000-20030421-02112.html
18,54,2002-12-01,Advanced Micro Devices,ASUS A7N8X  REV 1.02  Motherboard TM  XP 2700+,0,false,772.0,831.0,1124.0,1243.0,802.0,693.0,1170.0,715.0,548.0,711.0,876.0,531.0,820.0,853.0,549.0,587.0,http://www.spec.org/cpu2000/results/res2002q4/cpu2000-20020923-01690.html
19,55,2002-12-01,Advanced Micro Devices,ASUS A7N8X  REV 1.02  Motherboard TM  XP 2800+,0,false,782.0,843.0,1146.0,1246.0,805.0,701.0,1209.0,713.0,549.0,723.0,893.0,537.0,827.0,866.0,569.0,595.0,http://www.spec.org/cpu2000/results/res2002q4/cpu2000-20020923-01692.html
20,56,2003-02-01,Advanced Micro Devices,ASUS A7N8X Deluxe Motherboard TM  XP 3000+,0,false,776.0,869.0,1131.0,1006.0,799.0,654.0,1103.0,738.0,495.0,730.0,1008.0,587.0,853.0,850.0,538.0,705.0,http://www.spec.org/cpu2000/results/res2003q1/cpu2000-20030224-01963.html
21,57,2003-05-01,Advanced Micro Devices,ASUS A7N8X Motherboard rev. 2.0 TM  XP 3200+,0,false,873.0,982.0,1270.0,1162.0,917.0,755.0,1139.0,842.0,595.0,807.0,1179.0,667.0,1000.0,954.0,547.0,779.0,http://www.spec.org/cpu2000/results/res2003q2/cpu2000-20030505-02155.html
22,10,2000-11-01,Advanced Micro Devices,ASUS A7V Motherboard,0,false,298.0,321.0,312.0,518.0,239.0,289.0,397.0,446.0,239.0,234.0,374.0,267.0,214.0,336.0,217.0,254.0,http://www.spec.org/cpu2000/results/res2001q1/cpu2000-20010214-00461.html
23,12,2000-11-01,Advanced Micro Devices,ASUS A7V Motherboard,0,false,328.0,352.0,357.0,521.0,275.0,301.0,471.0,482.0,241.0,251.0,414.0,293.0,238.0,367.0,258.0,284.0,http://www.spec.org/cpu2000/results/res2001q1/cpu2000-20010214-00460.html
24,13,2001-04-01,Advanced Micro Devices,ASUS A7V Motherboard,0,false,348.0,374.0,381.0,551.0,296.0,319.0,513.0,508.0,250.0,259.0,438.0,312.0,255.0,393.0,278.0,300.0,http://www.spec.org/cpu2000/results/res2001q1/cpu2000-20010311-00522.html
25,23,2005-06-01,Advanced Micro Devices,ASUS A8N-SLI Deluxe TM  64 FX-57,0,false,2086.0,2261.0,3106.0,2473.0,1837.0,2234.0,2169.0,3357.0,2813.0,1792.0,2580.0,1614.0,2252.0,1748.0,895.0,1736.0,http://www.spec.org/cpu2000/results/res2005q2/cpu2000-20050613-04261.html
26,23,2005-06-01,Advanced Micro Devices,ASUS A8N-SLI Deluxe TM  64 FX-57,0,false,1814.0,1894.0,2942.0,2280.0,1539.0,1523.0,2078.0,2952.0,1939.0,1802.0,2094.0,1418.0,1933.0,1547.0,863.0,1612.0,http://www.spec.org/cpu2000/results/res2005q2/cpu2000-20050613-04263.html
27,20,2003-09-01,Advanced Micro Devices,ASUS SK8N Motherboard TM  FX-51,0,false,1329.0,1423.0,1455.0,1864.0,1199.0,1117.0,1554.0,1961.0,1607.0,1157.0,1595.0,1324.0,1456.0,1315.0,537.0,1197.0,http://www.spec.org/cpu2000/results/res2003q3/cpu2000-20030908-02473.html
28,20,2003-12-01,Advanced Micro Devices,ASUS SK8N Motherboard TM  FX-51,0,false,1371.0,1378.0,1608.0,2156.0,1277.0,1206.0,1636.0,2456.0,1422.0,1430.0,1221.0,1224.0,1276.0,1381.0,593.0,1211.0,http://www.spec.org/cpu2000/results/res2003q3/cpu2000-20030908-02503.html
29,69,2003-09-01,Advanced Micro Devices,ASUS SK8N Motherboard TM  146,0,false,1250.0,1339.0,1348.0,1818.0,1118.0,1080.0,1410.0,1843.0,1551.0,1104.0,1484.0,1222.0,1412.0,1239.0,489.0,1110.0,http://www.spec.org/cpu2000/results/res2003q4/cpu2000-20030922-02514.html
30,69,2003-09-01,Advanced Micro Devices,ASUS SK8N Motherboard TM  146,0,false,1291.0,1300.0,1495.0,2098.0,1189.0,1151.0,1504.0,2305.0,1368.0,1401.0,1120.0,1132.0,1240.0,1308.0,543.0,1122.0,http://www.spec.org/cpu2000/results/res2003q4/cpu2000-20030922-02518.html
31,70,2003-12-01,Advanced Micro Devices,ASUS SK8N Motherboard TM  148,0,false,1393.0,1490.0,1464.0,2027.0,1248.0,1182.0,1554.0,2051.0,1692.0,1191.0,1606.0,1371.0,1739.0,1350.0,538.0,1328.0,http://www.spec.org/cpu2000/results/res2003q4/cpu2000-20031117-02627.html
32,70,2003-12-01,Advanced Micro Devices,ASUS SK8N Motherboard TM  148,0,false,1505.0,1514.0,1674.0,2254.0,1254.0,1344.0,1603.0,2679.0,1468.0,1422.0,2016.0,1299.0,1529.0,1438.0,684.0,1366.0,http://www.spec.org/cpu2000/results/res2003q4/cpu2000-20031117-02630.html
33,117,2004-02-01,Advanced Micro Devices,ASUS SK8N Motherboard TM  Model 140 EE,0,false,1012.0,1075.0,1008.0,1759.0,864.0,926.0,998.0,1484.0,1385.0,925.0,1136.0,918.0,1400.0,971.0,344.0,900.0,http://www.spec.org/cpu2000/results/res2004q1/cpu2000-20040209-02853.html
34,118,2004-02-01,Advanced Micro Devices,ASUS SK8N Motherboard TM  Model 146 HE,0,false,1306.0,1394.0,1356.0,1976.0,1158.0,1136.0,1406.0,1924.0,1633.0,1134.0,1483.0,1267.0,1677.0,1263.0,489.0,1224.0,http://www.spec.org/cpu2000/results/res2004q1/cpu2000-20040209-02855.html
35,71,2004-06-01,Advanced Micro Devices,ASUS SK8V Motherboard TM  150,0,false,1591.0,1644.0,1754.0,2355.0,1476.0,1425.0,1769.0,2762.0,1511.0,1563.0,2197.0,1333.0,1482.0,1551.0,736.0,1335.0,http://www.spec.org/cpu2000/results/res2004q2/cpu2000-20040503-02998.html
36,71,2004-06-01,Advanced Micro Devices,ASUS SK8V Motherboard TM  150,0,false,1439.0,1528.0,1603.0,2092.0,1289.0,1199.0,1761.0,2324.0,1805.0,1480.0,1563.0,1141.0,1539.0,1270.0,714.0,1158.0,http://www.spec.org/cpu2000/results/res2004q2/cpu2000-20040503-03002.html
37,37,2002-01-01,Advanced Micro Devices,Asus A7M266-D Motherboard TM  MP 2000+,0,false,548.0,596.0,807.0,829.0,518.0,483.0,886.0,489.0,392.0,485.0,618.0,393.0,572.0,611.0,420.0,441.0,http://www.spec.org/cpu2000/results/res2002q1/cpu2000-20020311-01271.html
38,40,2002-12-01,Advanced Micro Devices,Asus A7M266-D Motherboard TM  MP 2400+,0,false,605.0,656.0,919.0,871.0,541.0,528.0,1040.0,488.0,407.0,550.0,707.0,445.0,625.0,682.0,502.0,498.0,http://www.spec.org/cpu2000/results/res2002q4/cpu2000-20021118-01835.html
39,46,2001-11-01,Advanced Micro Devices,Epox 8KHA+ Motherboard TM  XP 1700+,0,false,561.0,604.0,814.0,793.0,520.0,529.0,783.0,536.0,426.0,506.0,672.0,436.0,605.0,633.0,371.0,456.0,http://www.spec.org/cpu2000/results/res2001q4/cpu2000-20011008-01006.html
40,47,2001-11-01,Advanced Micro Devices,Epox 8KHA+ Motherboard TM  XP 1800+,0,false,572.0,615.0,836.0,796.0,523.0,533.0,831.0,544.0,428.0,518.0,685.0,443.0,612.0,648.0,387.0,464.0,http://www.spec.org/cpu2000/results/res2001q4/cpu2000-20011008-01008.html
41,48,2001-11-01,Advanced Micro Devices,Epox 8KHA+ Motherboard TM  XP 1900+,0,false,588.0,634.0,866.0,813.0,538.0,552.0,861.0,553.0,432.0,535.0,703.0,455.0,632.0,667.0,403.0,477.0,http://www.spec.org/cpu2000/results/res2001q4/cpu2000-20011022-01056.html
42,49,2002-01-01,Advanced Micro Devices,Epox 8KHA+ Motherboard TM  XP 2000+,0,false,596.0,642.0,885.0,808.0,533.0,549.0,892.0,566.0,433.0,544.0,713.0,457.0,632.0,679.0,422.0,484.0,http://www.spec.org/cpu2000/results/res2002q1/cpu2000-20020114-01203.html
43,50,2002-04-01,Advanced Micro Devices,Epox 8KHA+ Motherboard TM  XP 2100+,0,false,613.0,660.0,906.0,825.0,548.0,567.0,940.0,575.0,434.0,563.0,738.0,471.0,652.0,695.0,441.0,496.0,http://www.spec.org/cpu2000/results/res2002q2/cpu2000-20020422-01327.html
44,51,2002-06-01,Advanced Micro Devices,Epox 8KHA+ Motherboard TM  XP 2200+,0,false,624.0,671.0,928.0,840.0,551.0,575.0,968.0,578.0,431.0,574.0,757.0,477.0,666.0,711.0,456.0,504.0,http://www.spec.org/cpu2000/results/res2002q3/cpu2000-20020701-01442.html
45,52,2002-08-01,Advanced Micro Devices,Epox 8KHA+ Motherboard TM  XP 2400+,0,false,641.0,693.0,987.0,817.0,558.0,585.0,1064.0,533.0,433.0,604.0,786.0,489.0,681.0,744.0,504.0,514.0,http://www.spec.org/cpu2000/results/res2002q3/cpu2000-20020812-01549.html
46,53,2002-08-01,Advanced Micro Devices,Epox 8KHA+ Motherboard TM  XP 2600+,0,false,655.0,710.0,1020.0,813.0,559.0,590.0,1124.0,533.0,434.0,622.0,808.0,500.0,693.0,765.0,536.0,526.0,http://www.spec.org/cpu2000/results/res2002q3/cpu2000-20020812-01550.html
47,12,2001-03-01,Advanced Micro Devices,Gigabyte GA-7DX Motherboard,0,false,387.0,417.0,381.0,772.0,296.0,399.0,481.0,590.0,348.0,291.0,469.0,342.0,280.0,440.0,259.0,333.0,http://www.spec.org/cpu2000/results/res2001q1/cpu2000-20010214-00462.html
48,14,2001-05-01,Advanced Micro Devices,Gigabyte GA-7DX Motherboard,0,false,414.0,445.0,415.0,799.0,326.0,418.0,528.0,625.0,363.0,307.0,494.0,364.0,300.0,472.0,288.0,358.0,http://www.spec.org/cpu2000/results/res2001q1/cpu2000-20010311-00524.html
49,15,2001-06-01,Advanced Micro Devices,Gigabyte GA-7DX Motherboard,0,false,426.0,458.0,438.0,797.0,343.0,420.0,556.0,629.0,359.0,323.0,531.0,372.0,306.0,483.0,301.0,364.0,http://www.spec.org/cpu2000/results/res2001q2/cpu2000-20010519-00654.html
50,44,2001-10-01,Advanced Micro Devices,Gigabyte GA-7DX Motherboard TM  XP 1500+,0,false,494.0,536.0,717.0,793.0,481.0,456.0,708.0,455.0,368.0,431.0,563.0,368.0,534.0,545.0,338.0,402.0,http://www.spec.org/cpu2000/results/res2001q4/cpu2000-20011008-01019.html
51,45,2001-10-01,Advanced Micro Devices,Gigabyte GA-7DX Motherboard TM  XP 1600+,0,false,504.0,547.0,738.0,798.0,485.0,462.0,738.0,462.0,369.0,443.0,573.0,374.0,541.0,557.0,354.0,410.0,http://www.spec.org/cpu2000/results/res2001q4/cpu2000-20011008-01021.html
52,46,2001-10-01,Advanced Micro Devices,Gigabyte GA-7DX Motherboard TM  XP 1700+,0,false,535.0,580.0,780.0,851.0,520.0,487.0,783.0,486.0,395.0,468.0,614.0,398.0,571.0,589.0,372.0,436.0,http://www.spec.org/cpu2000/results/res2001q4/cpu2000-20011008-01002.html
53,47,2001-10-01,Advanced Micro Devices,Gigabyte GA-7DX Motherboard TM  XP 1800+,0,false,542.0,588.0,797.0,855.0,523.0,490.0,812.0,490.0,393.0,471.0,621.0,403.0,576.0,601.0,388.0,442.0,http://www.spec.org/cpu2000/results/res2001q4/cpu2000-20011008-01004.html
54,11,2000-08-01,Advanced Micro Devices,,0,false,311.0,331.0,340.0,503.0,256.0,294.0,419.0,457.0,211.0,260.0,390.0,291.0,230.0,354.0,237.0,267.0,http://www.spec.org/cpu2000/results/res2000q3/cpu2000-20000814-00180.html
55,12,2000-10-01,Advanced Micro Devices,,0,false,304.0,342.0,360.0,506.0,272.0,298.0,302.0,468.0,213.0,236.0,411.0,221.0,237.0,365.0,256.0,278.0,http://www.spec.org/cpu2000/results/res2000q4/cpu2000-20001009-00251.html
56,39,2002-08-01,Advanced Micro Devices,MSI K7D Master Motherboard TM  MP 2200+,0,false,592.0,644.0,879.0,896.0,564.0,524.0,957.0,485.0,420.0,528.0,691.0,436.0,619.0,667.0,454.0,486.0,http://www.spec.org/cpu2000/results/res2002q3/cpu2000-20020812-01544.html
57,41,2003-01-01,Advanced Micro Devices,MSI K7D Master Motherboard TM  MP 2600+,0,false,602.0,650.0,928.0,829.0,518.0,518.0,1095.0,525.0,385.0,545.0,688.0,439.0,616.0,678.0,532.0,493.0,http://www.spec.org/cpu2000/results/res2003q1/cpu2000-20030210-01944.html
58,38,2002-06-01,Advanced Micro Devices,MSI K7D Master-L Motherboard TM  MP 2100+,0,false,584.0,637.0,863.0,895.0,564.0,520.0,922.0,475.0,418.0,521.0,683.0,432.0,614.0,653.0,439.0,480.0,http://www.spec.org/cpu2000/results/res2002q2/cpu2000-20020603-01398.html
59,18,2003-09-01,Advanced Micro Devices,MSI K8 Neo  MS-6702  Motherboard TM  64 3200+,0,false,1180.0,1250.0,1330.0,1505.0,1089.0,1016.0,1400.0,1806.0,1212.0,1028.0,1447.0,1217.0,1339.0,1148.0,490.0,1094.0,http://www.spec.org/cpu2000/results/res2003q3/cpu2000-20030908-02470.html
60,22,2004-10-01,Advanced Micro Devices,MSI K8N Neo2 Platinum Motherboard TM  64 FX-55,0,false,1741.0,1782.0,2628.0,2503.0,1443.0,1466.0,1910.0,2785.0,2041.0,1742.0,1882.0,1365.0,1925.0,1502.0,791.0,1519.0,http://www.spec.org/cpu2000/results/res2004q4/cpu2000-20040920-03392.html
61,21,2004-06-01,Advanced Micro Devices,MSI K8T Neo2-FIR  MS-6702E  Motherboard TM  64,0,false,1504.0,1597.0,1657.0,2114.0,1315.0,1254.0,1775.0,2448.0,1890.0,1559.0,1622.0,1232.0,1720.0,1317.0,714.0,1263.0,http://www.spec.org/cpu2000/results/res2004q3/cpu2000-20040628-03168.html
62,21,2004-06-01,Advanced Micro Devices,MSI K8T Neo2-FIR  MS-6702E  Motherboard TM  64,0,false,1595.0,1634.0,2402.0,2224.0,1314.0,1363.0,1771.0,2573.0,1905.0,1572.0,1708.0,1241.0,1810.0,1339.0,728.0,1409.0,http://www.spec.org/cpu2000/results/res2004q3/cpu2000-20040905-03373.html
63,76,2003-08-01,Advanced Micro Devices,Rioworks HDAMA Motherboard,0,false,1209.0,1293.0,1308.0,1733.0,1105.0,1033.0,1407.0,1782.0,1434.0,1037.0,1425.0,1200.0,1358.0,1192.0,489.0,1085.0,http://www.spec.org/cpu2000/results/res2003q3/cpu2000-20030728-02428.html
64,68,2005-08-01,Advanced Micro Devices,TYAN S2865 K8E Tomcat TM  144,0,false,1303.0,1347.0,2041.0,1778.0,1060.0,1186.0,1351.0,2110.0,1561.0,1376.0,1443.0,1003.0,1484.0,1107.0,560.0,1089.0,http://www.spec.org/cpu2000/results/res2005q3/cpu2000-20050725-04392.html
65,68,2005-08-01,Advanced Micro Devices,TYAN S2865 K8E Tomcat TM  144,0,false,1526.0,1646.0,2191.0,2011.0,1311.0,1645.0,1432.0,2454.0,2324.0,1465.0,1866.0,1103.0,1796.0,1259.0,585.0,1203.0,http://www.spec.org/cpu2000/results/res2005q3/cpu2000-20050725-04402.html
66,69,2005-08-01,Advanced Micro Devices,TYAN S2865 K8E Tomcat TM  146,0,false,1389.0,1442.0,2201.0,1796.0,1152.0,1242.0,1476.0,2249.0,1619.0,1454.0,1551.0,1082.0,1543.0,1191.0,618.0,1182.0,http://www.spec.org/cpu2000/results/res2005q3/cpu2000-20050725-04394.html
67,69,2005-08-01,Advanced Micro Devices,TYAN S2865 K8E Tomcat TM  146,0,false,1634.0,1760.0,2350.0,2046.0,1415.0,1784.0,1581.0,2635.0,2428.0,1537.0,1985.0,1213.0,1841.0,1358.0,649.0,1310.0,http://www.spec.org/cpu2000/results/res2005q3/cpu2000-20050725-04404.html
68,70,2005-08-01,Advanced Micro Devices,TYAN S2865 K8E Tomcat TM  148,0,false,1482.0,1540.0,2366.0,1830.0,1250.0,1298.0,1638.0,2404.0,1674.0,1530.0,1669.0,1171.0,1597.0,1279.0,681.0,1283.0,http://www.spec.org/cpu2000/results/res2005q3/cpu2000-20050725-04396.html
69,70,2005-08-01,Advanced Micro Devices,TYAN S2865 K8E Tomcat TM  148,0,false,1729.0,1860.0,2517.0,2067.0,1499.0,1905.0,1722.0,2785.0,2499.0,1612.0,2115.0,1313.0,1843.0,1442.0,712.0,1415.0,http://www.spec.org/cpu2000/results/res2005q3/cpu2000-20050725-04406.html
70,71,2005-08-01,Advanced Micro Devices,TYAN S2865 K8E Tomcat TM  150,0,false,1555.0,1619.0,2505.0,1842.0,1330.0,1333.0,1774.0,2519.0,1713.0,1579.0,1770.0,1241.0,1629.0,1354.0,740.0,1368.0,http://www.spec.org/cpu2000/results/res2005q3/cpu2000-20050725-04398.html
71,71,2005-08-01,Advanced Micro Devices,TYAN S2865 K8E Tomcat TM  150,0,false,1817.0,1955.0,2673.0,2083.0,1585.0,2014.0,1873.0,2919.0,2560.0,1626.0,2218.0,1413.0,1877.0,1532.0,776.0,1509.0,http://www.spec.org/cpu2000/results/res2005q3/cpu2000-20050725-04408.html
72,72,2005-08-01,Advanced Micro Devices,TYAN S2865 K8E Tomcat TM  152,0,false,1630.0,1698.0,2655.0,1860.0,1412.0,1370.0,1909.0,2643.0,1740.0,1630.0,1873.0,1314.0,1661.0,1430.0,801.0,1456.0,http://www.spec.org/cpu2000/results/res2005q3/cpu2000-20050725-04401.html
73,72,2005-08-01,Advanced Micro Devices,TYAN S2865 K8E Tomcat TM  152,0,false,1901.0,2045.0,2826.0,2099.0,1652.0,2107.0,2020.0,3048.0,2652.0,1668.0,2314.0,1512.0,1891.0,1614.0,838.0,1602.0,http://www.spec.org/cpu2000/results/res2005q3/cpu2000-20050725-04410.html
74,79,2005-02-01,Advanced Micro Devices,TYAN Thunder K8S Pro S2882 TM  252,0,false,1664.0,1742.0,2670.0,2211.0,1431.0,1405.0,1889.0,2729.0,1798.0,1609.0,1897.0,1254.0,1766.0,1427.0,794.0,1486.0,http://www.spec.org/cpu2000/results/res2005q1/cpu2000-20050207-03807.html
75,81,2006-04-01,Advanced Micro Devices,TYAN Thunder K8SD Pro  S2882-D  TM  256,0,false,1853.0,2021.0,2935.0,2237.0,1724.0,1479.0,1154.0,3022.0,4571.0,1742.0,2130.0,1306.0,1873.0,1639.0,902.0,1567.0,http://www.spec.org/cpu2000/results/res2006q2/cpu2000-20060320-05794.html
76,81,2006-04-01,Advanced Micro Devices,TYAN Thunder K8SD Pro  S2882-D  TM  256,0,false,2122.0,2365.0,2996.0,2586.0,1871.0,2229.0,1961.0,3516.0,2724.0,1792.0,2806.0,1719.0,2134.0,1807.0,998.0,1861.0,http://www.spec.org/cpu2000/results/res2006q2/cpu2000-20060320-05796.html
77,73,2005-09-01,Advanced Micro Devices,TYAN Tomcat K8E  S2865  TM  154,0,false,1778.0,1929.0,2806.0,2039.0,1665.0,1434.0,1018.0,2948.0,4424.0,1736.0,2006.0,1291.0,1765.0,1637.0,857.0,1566.0,http://www.spec.org/cpu2000/results/res2005q3/cpu2000-20050819-04516.html
78,73,2005-09-01,Advanced Micro Devices,TYAN Tomcat K8E  S2865  TM  154,0,false,2026.0,2184.0,3013.0,2278.0,1780.0,2232.0,2174.0,3235.0,2770.0,1750.0,2451.0,1623.0,1984.0,1732.0,904.0,1711.0,http://www.spec.org/cpu2000/results/res2005q3/cpu2000-20050819-04518.html
79,73,2005-08-01,Advanced Micro Devices,TYAN Tomcat K8E  S2865  TM  154,0,false,1737.0,1898.0,2840.0,1922.0,1613.0,1367.0,1059.0,2842.0,4393.0,1682.0,2021.0,1279.0,1676.0,1574.0,855.0,1458.0,http://www.spec.org/cpu2000/results/res2005q4/cpu2000-20051212-05261.html
80,73,2005-07-01,Advanced Micro Devices,TYAN Tomcat K8E  S2865  TM  154,0,false,1976.0,2191.0,2838.0,2253.0,1723.0,2122.0,1840.0,3222.0,2639.0,1706.0,2661.0,1641.0,1849.0,1713.0,939.0,1711.0,http://www.spec.org/cpu2000/results/res2005q4/cpu2000-20051212-05263.html
81,75,2006-03-01,Advanced Micro Devices,TYAN Tomcat K8E  S2865  TM  185,0,false,1978.0,2208.0,2763.0,2585.0,1754.0,2088.0,1702.0,3297.0,2632.0,1722.0,2632.0,1541.0,2135.0,1674.0,868.0,1671.0,http://www.spec.org/cpu2000/results/res2006q1/cpu2000-20060220-05630.html
82,75,2006-03-01,Advanced Micro Devices,TYAN Tomcat K8E  S2865  TM  185,0,false,1733.0,1884.0,2710.0,2244.0,1600.0,1450.0,1007.0,2848.0,4312.0,1674.0,1971.0,1210.0,1874.0,1518.0,791.0,1407.0,http://www.spec.org/cpu2000/results/res2006q1/cpu2000-20060220-05634.html
83,33,2001-06-01,Advanced Micro Devices,Tyan Thunder K7 Motherboard,0,false,433.0,481.0,669.0,785.0,464.0,437.0,662.0,314.0,345.0,355.0,417.0,347.0,480.0,446.0,304.0,315.0,http://www.spec.org/cpu2000/results/res2001q2/cpu2000-20010519-00647.html
84,34,2001-10-01,Advanced Micro Devices,Tyan Thunder K7 Motherboard TM  MP 1500+,0,false,473.0,516.0,704.0,796.0,487.0,448.0,716.0,376.0,367.0,424.0,549.0,331.0,505.0,537.0,337.0,326.0,http://www.spec.org/cpu2000/results/res2001q4/cpu2000-20011008-01027.html
85,35,2001-10-01,Advanced Micro Devices,Tyan Thunder K7 Motherboard TM  MP 1600+,0,false,483.0,526.0,726.0,801.0,492.0,455.0,749.0,384.0,368.0,436.0,562.0,338.0,512.0,550.0,353.0,335.0,http://www.spec.org/cpu2000/results/res2001q4/cpu2000-20011008-01029.html
86,36,2001-10-01,Advanced Micro Devices,Tyan Thunder K7 Motherboard TM  MP 1800+,0,false,504.0,547.0,769.0,792.0,489.0,466.0,806.0,407.0,363.0,459.0,592.0,361.0,535.0,574.0,384.0,354.0,http://www.spec.org/cpu2000/results/res2001q4/cpu2000-20011008-01010.html
87,86,2004-07-01,Advanced Micro Devices,Tyan Thunder K8QS Pro  S4882  TM  850,0,false,1492.0,1531.0,2121.0,2182.0,1201.0,1237.0,1715.0,2378.0,1808.0,1439.0,1613.0,1149.0,1658.0,1278.0,693.0,1366.0,http://www.spec.org/cpu2000/results/res2004q3/cpu2000-20040905-03381.html
