core_mark_id,processor_id,score,threads,thread_model,date,link
79,486,3481.29,1,,2010-05-05,http://www.coremark.org/benchmark/index.php
80,629,5722.01,1,,2010-04-21,http://www.coremark.org/benchmark/index.php
81,629,22739.02,4,PThreads,2010-04-21,http://www.coremark.org/benchmark/index.php
82,629,30291.56,8,PThreads,2010-04-21,http://www.coremark.org/benchmark/index.php
83,369,2806.0,4,DMULTITHREAD,2010-04-12,http://www.coremark.org/benchmark/index.php
84,655,8215.0,1,,2010-03-07,http://www.coremark.org/benchmark/index.php
85,655,15150.0,2,PThreads,2010-03-07,http://www.coremark.org/benchmark/index.php
86,655,31675.0,4,PThreads,2010-03-07,http://www.coremark.org/benchmark/index.php
87,655,37981.0,8,PThreads,2010-03-07,http://www.coremark.org/benchmark/index.php
88,367,4567.25,2,PThreads,2010-02-18,http://www.coremark.org/benchmark/index.php
89,351,1.7,1,,2009-10-14,http://www.coremark.org/benchmark/index.php
90,500,213.83,1,,2009-10-13,http://www.coremark.org/benchmark/index.php
91,498,8885.3,1,,2009-10-13,http://www.coremark.org/benchmark/index.php
92,576,1945.53,1,,2009-10-13,http://www.coremark.org/benchmark/index.php
93,385,7217.85,1,,2009-10-13,http://www.coremark.org/benchmark/index.php
94,491,3690.03,1,,2009-09-30,http://www.coremark.org/benchmark/index.php
95,426,39201.71,4,PThreads,2009-08-31,http://www.coremark.org/benchmark/index.php
96,629,5702.44,1,,2009-08-14,http://www.coremark.org/benchmark/index.php
97,688,10907.5,1,,2009-08-10,http://www.coremark.org/benchmark/index.php
98,688,84943.73,8,Fork,2009-08-10,http://www.coremark.org/benchmark/index.php
99,688,11623.85,1,,2009-08-10,http://www.coremark.org/benchmark/index.php
100,688,45664.71,4,Fork,2009-08-10,http://www.coremark.org/benchmark/index.php
101,605,11235.96,1,,2009-08-05,http://www.coremark.org/benchmark/index.php
102,605,7362.78,1,,2009-08-05,http://www.coremark.org/benchmark/index.php
103,395,14067.4,2,PThreads,2009-07-23,http://www.coremark.org/benchmark/index.php
104,367,4058.44,2,PThreads,2009-06-12,http://www.coremark.org/benchmark/index.php
105,620,5877.95,1,,2009-06-07,http://www.coremark.org/benchmark/index.php
106,620,11747.74,2,PThreads,2009-06-07,http://www.coremark.org/benchmark/index.php
107,620,23579.85,4,PThreads,2009-06-07,http://www.coremark.org/benchmark/index.php
108,386,9249.0,2,PThreads,2009-06-06,http://www.coremark.org/benchmark/index.php
109,581,5298.0,1,,2009-06-05,http://www.coremark.org/benchmark/index.php
110,581,6240.0,1,,2009-06-05,http://www.coremark.org/benchmark/index.php
111,407,7224.95,1,,2009-06-03,http://www.coremark.org/benchmark/index.php
112,420,3223.2,1,,2009-05-27,http://www.coremark.org/benchmark/index.php
