spec_int1995_id,processor_id,hw_avail,test_sponsor,hw_model,basemean,peakmean,099_go,124_m88ksim,126_gcc,129_compress,130_li,132_ijpeg,134_perl,147_vortex,link
425,703,1996-11-01,SGI,Octane,10.5,11.0,10.6,9.36,9.69,11.3,9.47,9.66,13.0,11.2,http://www.spec.org/cpu95/results/res98q1/cpu95-971216-02315.html
426,702,1996-11-01,SGI,Origin200,9.86,10.3,9.79,8.56,8.87,10.4,8.68,8.86,12.2,12.4,http://www.spec.org/cpu95/results/res98q1/cpu95-971216-02312.html
427,706,1998-03-01,SGI,Origin2000,14.1,14.7,14.3,11.8,13.0,14.9,12.2,12.3,16.7,19.6,http://www.spec.org/cpu95/results/res98q1/cpu95-980227-02509.html
428,742,1999-03-01,SGI,Origin200: 1X 270MHz R12k,14.9,15.8,14.1,14.0,13.5,15.2,12.8,13.5,17.6,20.1,http://www.spec.org/cpu95/results/res99q2/cpu95-19990329-03504.html
429,706,1999-08-01,SGI,Origin2100: 250MHz R10k,15.1,15.3,14.6,14.1,15.2,15.4,11.6,12.5,17.2,22.5,http://www.spec.org/cpu95/results/res99q3/cpu95-19990803-03765.html
430,746,2000-06-01,SGI,SGI 2200: 2X 400MHz R12k,23.8,24.2,22.1,23.1,23.5,23.1,18.1,21.0,27.4,35.2,http://www.spec.org/cpu95/results/res2000q2/cpu95-20000509-04235.html
431,556,1998-11-01,Siemens; Germany,CELSIUS 2000,18.9,18.9,18.8,18.0,18.1,17.0,19.8,17.7,20.6,21.6,http://www.spec.org/cpu95/results/res99q1/cpu95-19990118-03257.html
432,566,1999-03-01,Siemens / Germany,CELSIUS 420,21.3,21.3,21.2,23.0,18.9,17.4,24.3,19.8,23.2,23.4,http://www.spec.org/cpu95/results/res99q2/cpu95-19990412-03520.html
433,567,1999-05-01,Siemens / Germany,CELSIUS 630,24.3,24.3,24.7,25.4,22.0,20.6,27.8,21.9,26.0,27.4,http://www.spec.org/cpu95/results/res99q2/cpu95-19990412-03522.html
434,566,1999-04-01,Siemens / Germany,Primergy 170,21.2,21.2,21.2,23.0,18.9,17.5,24.1,19.8,23.2,23.3,http://www.spec.org/cpu95/results/res99q2/cpu95-19990326-03462.html
