spec_int2000_id,processor_id,hw_avail,test_sponsor,hw_model,bus,sw_auto_parallel,basemean,peakmean,164_gzip,175_vpr,176_gcc,181_mcf,186_crafty,197_parser,252_eon,253_perlbmk,254_gap,255_vortex,256_bzip2,300_twolf,link
667,543,2006-07-01,Intel(R) Corporation,Intel R  DG965WH motherboard  Intel R TM,,false,1519.0,1519.0,1037.0,1045.0,1752.0,1959.0,1128.0,1189.0,2031.0,1819.0,1718.0,2729.0,1148.0,1524.0,http://www.spec.org/cpu2000/results/res2007q1/cpu2000-20070205-08463.html
668,544,2006-07-01,Intel(R) Corporation,Intel R  DG965WH motherboard  Intel R TM,,false,1614.0,1614.0,1106.0,1108.0,1864.0,2044.0,1203.0,1266.0,2167.0,1939.0,1825.0,2895.0,1218.0,1627.0,http://www.spec.org/cpu2000/results/res2007q1/cpu2000-20070205-08467.html
669,546,2006-07-01,Intel(R) Corporation,Intel R  DG965WH motherboard  Intel R TM,,false,1705.0,1705.0,1173.0,1168.0,1973.0,2112.0,1277.0,1340.0,2302.0,2055.0,1927.0,3050.0,1284.0,1728.0,http://www.spec.org/cpu2000/results/res2007q1/cpu2000-20070205-08455.html
670,547,2006-07-01,Intel(R) Corporation,Intel R  DG965WH motherboard  Intel R TM,,false,1796.0,1795.0,1240.0,1228.0,2080.0,2182.0,1353.0,1415.0,2438.0,2174.0,2029.0,3203.0,1350.0,1830.0,http://www.spec.org/cpu2000/results/res2007q1/cpu2000-20070205-08471.html
671,549,2006-07-01,Intel(R) Corporation,Intel R  DG965WH motherboard  Intel R R,,false,1870.0,1872.0,1292.0,1279.0,2165.0,2293.0,1407.0,1461.0,2524.0,2257.0,2139.0,3332.0,1413.0,1893.0,http://www.spec.org/cpu2000/results/res2006q3/cpu2000-20060725-06846.html
672,442,2006-02-01,Intel(R) Corporation,Lenovo Thinkpad T60 Type 1951-IXU  Intel R  Core,,false,1385.0,1389.0,961.0,1128.0,1594.0,1744.0,1122.0,1153.0,1645.0,1480.0,1340.0,2208.0,1035.0,1707.0,http://www.spec.org/cpu2000/results/res2006q1/cpu2000-20060110-05375.html
673,445,2006-02-01,Intel(R) Corporation,Lenovo Thinkpad T60 Type 1951-IXU  Intel R  Core,,false,1748.0,1754.0,1243.0,1391.0,2025.0,1971.0,1453.0,1460.0,2130.0,1905.0,1703.0,2766.0,1305.0,2222.0,http://www.spec.org/cpu2000/results/res2006q1/cpu2000-20060110-05370.html
674,77,2004-01-01,PathScale; Inc.,ASUS SK8N Motherboard TM  Model 248,,false,1338.0,1452.0,1295.0,1086.0,1522.0,779.0,1894.0,1041.0,1610.0,1511.0,1258.0,2207.0,1244.0,1195.0,http://www.spec.org/cpu2000/results/res2004q2/cpu2000-20040419-02982.html
675,562,2002-09-01,RLX,1200i,,false,564.0,575.0,650.0,455.0,611.0,289.0,640.0,446.0,700.0,701.0,502.0,967.0,521.0,557.0,http://www.spec.org/cpu2000/results/res2002q4/cpu2000-20020927-01701.html
676,574,2002-03-01,RLX,800i,,false,427.0,435.0,446.0,367.0,467.0,273.0,433.0,356.0,467.0,488.0,398.0,701.0,403.0,444.0,http://www.spec.org/cpu2000/results/res2002q4/cpu2000-20020927-01699.html
677,745,2000-06-01,SGI,,,false,277.0,298.0,204.0,319.0,277.0,392.0,304.0,242.0,326.0,221.0,183.0,261.0,286.0,402.0,http://www.spec.org/cpu2000/results/res2000q2/cpu2000-20000604-00117.html
678,744,2000-06-01,SGI,,,false,280.0,289.0,196.0,316.0,275.0,409.0,290.0,237.0,308.0,211.0,182.0,391.0,275.0,391.0,http://www.spec.org/cpu2000/results/res2001q1/cpu2000-20010308-00510.html
679,747,2001-07-01,SGI,,,false,397.0,412.0,266.0,460.0,367.0,607.0,409.0,342.0,433.0,305.0,242.0,569.0,404.0,552.0,http://www.spec.org/cpu2000/results/res2001q3/cpu2000-20010716-00753.html
680,746,2000-06-01,SGI,,,false,320.0,347.0,226.0,384.0,313.0,563.0,334.0,283.0,360.0,246.0,204.0,294.0,334.0,451.0,http://www.spec.org/cpu2000/results/res2000q2/cpu2000-20000509-00095.html
681,485,2003-02-01,SGI,SGI Altix 3000   Itanium 2,,false,683.0,683.0,612.0,657.0,834.0,559.0,695.0,484.0,836.0,684.0,543.0,980.0,662.0,807.0,http://www.spec.org/cpu2000/results/res2003q2/cpu2000-20030519-02182.html
682,486,2003-06-01,SGI,SGI Altix 3000   Itanium 2,,false,875.0,875.0,790.0,836.0,1039.0,710.0,907.0,615.0,1087.0,889.0,695.0,1263.0,855.0,1027.0,http://www.spec.org/cpu2000/results/res2003q3/cpu2000-20030616-02241.html
683,486,2003-06-01,SGI,SGI Altix 3000   Itanium 2,,false,1019.0,0.0,809.0,845.0,1105.0,1106.0,1041.0,773.0,1314.0,1020.0,763.0,1613.0,965.0,1178.0,http://www.spec.org/cpu2000/results/res2004q1/cpu2000-20031229-02701.html
684,489,2003-06-01,SGI,SGI Altix 3000   Itanium 2,,false,1077.0,1077.0,909.0,1039.0,1248.0,1301.0,1046.0,770.0,1252.0,1064.0,778.0,1554.0,1034.0,1190.0,http://www.spec.org/cpu2000/results/res2003q3/cpu2000-20030616-02232.html
685,489,2003-06-01,SGI,SGI Altix 3000   Itanium 2,,false,1243.0,0.0,918.0,1056.0,1337.0,1961.0,1195.0,946.0,1470.0,1192.0,849.0,1981.0,1170.0,1368.0,http://www.spec.org/cpu2000/results/res2003q3/cpu2000-20030908-02469.html
686,489,2005-07-01,SGI,SGI Altix 330   Itanium 2,,false,1260.0,0.0,986.0,1013.0,1385.0,1575.0,1205.0,929.0,1864.0,1218.0,915.0,1938.0,1149.0,1425.0,http://www.spec.org/cpu2000/results/res2005q3/cpu2000-20050628-04341.html
