spec_fp1992_id,processor_id,hw_avail,test_sponsor,hw_model,basemean,peakmean,013_spice2g6,015_doduc,034_mdljdp2,039_wave5,047_tomcatv,048_ora,052_alvinn,056_ear,077_mdljsp2,078_swm256,089_su2cor,090_hydro2d,093_nasa7,094_fpppp,link
144,740,,PFU,S-4/20H model 150,197.0,217.1,103.0,189.8,263.6,132.1,142.5,369.2,561.3,264.5,135.6,85.1,279.8,286.6,152.9,176.2,http://performance.netlib.org/performance/html/spec.F00105.cfp92.4_96.notes.html#{Fujitsu Limited S-4/20H model 150 150MHz hyperSPARC}
145,740,,PFU,S-4/20H model 150MP,207.2,248.6,101.1,157.6,246.2,146.2,110.0,367.3,569.6,266.7,134.0,114.2,418.8,459.7,165.5,156.7,http://performance.netlib.org/performance/html/spec.F00109.cfp92.4_96.notes.html#{Fujitsu Limited S-4/20H model 150MP 150MHz hyperSPARC}
146,201,,Sun,SPARCstation/server 5/110,63.0,65.3,50.6,56.7,77.5,41.0,73.0,103.6,80.2,92.4,43.9,44.9,69.1,50.7,72.3,61.5,http://performance.netlib.org/performance/html/spec.sun511_1.cfp92.6_95.notes.html#{Sun Microsystems; Inc. SPARCstation/server 5/110 110MHz microSPARC-II}
147,202,,Sun,SPARCstation Voyager,37.9,40.3,31.2,34.4,44.1,24.2,47.2,54.9,52.3,50.8,24.3,28.1,45.0,30.0,45.2,38.3,http://performance.netlib.org/performance/html/spec.sunspvoy.cfp92.6_94.notes.html#{Sun Microsystems Inc. SPARCstation Voyager 60MHz microSPARC II}
148,202,,PFU,S-4/Leia2,37.7,40.3,28.3,34.3,41.9,24.9,44.7,56.9,78.4,54.6,23.8,24.2,43.4,31.9,43.3,31.3,http://performance.netlib.org/performance/html/spec.fujits.cfp92.6_95.notes.html#{Fujitsu Limited S-4/Leia2 60MHz microSPARC II}
149,203,,Sun,SPARCstation/server 5,44.5,47.3,37.2,40.9,51.9,28.5,55.9,63.6,61.9,59.3,28.4,32.6,52.3,35.2,53.1,44.5,http://performance.netlib.org/performance/html/spec.sunsv570.cfp92.6_94.notes.html#{Sun Microsystems Inc. SPARCstation/server 5 (70MHz) 70MHz microSPARC II}
150,204,,Sun,SPARCstation/server 5,51.4,54.6,42.5,47.6,60.7,32.6,63.9,77.5,70.9,71.2,33.7,37.7,58.9,41.4,59.3,49.6,http://performance.netlib.org/performance/html/spec.sunsv585.cfp92.6_94.notes.html#{Sun Microsystems Inc. SPARCstation/server 5 (85MHz) 85MHz microSPARC II}
151,204,,Sun,SPARCstation/server 4/85,51.1,53.1,43.0,45.4,61.8,32.9,60.2,80.0,64.2,71.9,35.0,36.8,58.5,40.7,60.6,50.9,http://performance.netlib.org/performance/html/spec.sun485_1.cfp92.6_95.notes.html#{Sun Microsystems; Inc. SPARCstation/server 4/85 85MHz microSPARC-II}
152,751,,Sun,SPARCstation/server 10 Model 51,75.8,0.0,48.9,64.6,80.8,59.2,75.3,152.0,175.2,88.2,40.0,41.8,89.3,84.4,65.7,93.6,http://performance.netlib.org/performance/html/spec.sun1051.cfp92.6_94.notes.html#{Sun Microsystems Inc. SPARCstation/server 10 Model 51 50MHz SuperSPARC}
153,751,,Sun,SPARCstation/server 20 Model 51,79.1,84.8,56.6,84.9,87.7,57.3,79.3,143.5,112.8,92.6,41.5,43.1,110.0,84.1,83.6,94.2,http://performance.netlib.org/performance/html/spec.sun2051.cfp92.6_94.notes.html#{Sun Microsystems Inc. SPARCstation/server 20 Model 51 50MHz SuperSPARC}
154,751,,Sun,SPARCstation/server 20 Model 50,68.9,0.0,43.3,58.9,78.3,51.5,88.9,151.7,152.9,88.5,39.7,62.0,51.3,66.9,47.7,71.3,http://performance.netlib.org/performance/html/spec.sun2050b.cfp92.6_94.notes.html#{Sun Microsystems Inc. SPARCstation/server 20 Model 50 50MHz SuperSPARC}
155,751,,Sun,SPARCstation/server 20 Model 50,73.2,78.8,49.4,75.6,84.2,50.3,93.6,143.5,108.3,93.5,41.1,60.3,64.0,64.9,73.8,77.6,http://performance.netlib.org/performance/html/spec.sun2050.cfp92.6_94.notes.html#{Sun Microsystems Inc. SPARCstation/server 20 Model 50 50MHz SuperSPARC}
156,752,,Sun,SPARCstation/server 20 Model 61,90.6,0.0,58.1,73.2,96.6,70.3,93.0,182.3,207.8,105.8,48.0,50.6,108.7,101.4,78.1,111.8,http://performance.netlib.org/performance/html/spec.sun2061b.cfp92.6_94.notes.html#{Sun Microsystems Inc. SPARCstation/server 20 Model 61 60MHz SuperSPARC}
157,752,,Sun,SPARCstation/server 20 Model 61,95.8,102.8,69.5,102.8,105.5,68.4,94.0,172.2,135.1,111.2,49.9,52.6,130.4,98.8,113.1,114.4,http://performance.netlib.org/performance/html/spec.sun2061.cfp92.6_94.notes.html#{Sun Microsystems Inc. SPARCstation/server 20 Model 61 60MHz SuperSPARC}
158,752,,Sun,SPARCstation/server 20 Model 612,111.0,0.0,58.8,75.3,98.7,83.9,148.0,183.2,211.3,108.0,48.6,94.9,191.4,175.4,109.8,111.7,http://performance.netlib.org/performance/html/spec.sun20612.cfp92.6_94.notes.html#{Sun Microsystems Inc. SPARCstation/server 20 Model 612 60MHz SuperSPARC}
159,752,,Sun,SPARCstation/server 20 Model 612,111.0,127.1,58.8,75.3,98.7,83.9,148.0,183.2,211.3,108.0,48.6,94.9,191.4,175.4,109.8,111.7,http://performance.netlib.org/performance/html/spec.sun20612.cfp92.9_94.notes.html#{Sun Microsystems Inc. SPARCstation/server 20 Model 612 60MHz SuperSPARC}
160,753,,Sun,SPARCstation 20 Model 71,109.4,121.2,82.7,103.9,118.0,88.3,123.3,182.8,121.3,118.3,57.6,67.1,156.7,109.6,125.8,146.5,http://performance.netlib.org/performance/html/spec.sun271_1.cfp92.3_95.notes.html#{Sun Microsystems; Inc. SPARCstation/server 20 Model 71 75MHz SuperSPARC II}
161,753,,Sun,SPARCstation/server 20 Model 71,99.7,112.7,81.6,84.9,105.0,79.6,105.6,184.6,107.1,107.9,50.7,71.2,134.4,112.8,111.4,120.6,http://performance.netlib.org/performance/html/spec.suns2071.cfp92.9_95.notes.html#{Sun Microsystems Inc. SPARCstation/server 20 Model 71 75MHz SuperSPARC II}
