spec_fp1995_id,processor_id,hw_avail,test_sponsor,hw_model,basemean,peakmean,101_tomcatv,102_swim,103_su2cor,104_hydro2d,107_mgrid,110_applu,125_turb3d,141_apsi,145_fpppp,146_wave5,link
364,568,1999-05-01,Intel Corp.,Intel SE440BX2 Motherboard (600 MHz),14.6,15.8,20.3,28.6,8.79,8.6,10.2,9.53,14.0,19.6,24.3,15.6,http://www.spec.org/cpu95/results/res99q3/cpu95-19990913-03865.html
365,552,1999-03-01,Intel Corp.,Intel SE440BX2 Motherboard(300MHz; Pentium II processor),8.32,9.2,12.3,17.7,5.65,5.37,5.76,5.37,7.87,10.8,9.99,9.15,http://www.spec.org/cpu95/results/res99q1/cpu95-19990315-03461.html
366,553,1999-03-01,Intel Corp.,Intel SE440BX2 Motherboard(333MHz; Pentium II processor),9.06,10.0,12.6,18.2,5.87,5.55,6.11,5.78,8.46,11.6,14.8,9.64,http://www.spec.org/cpu95/results/res99q1/cpu95-19990315-03459.html
367,554,1999-03-01,Intel Corp.,Intel SE440BX2 Motherboard(350MHz; Pentium II processor),10.3,11.4,14.6,21.1,6.95,6.97,6.97,6.56,9.5,12.8,15.5,10.3,http://www.spec.org/cpu95/results/res99q1/cpu95-19990315-03446.html
368,555,1999-03-01,Intel Corp.,Intel SE440BX2 Motherboard(400MHz; Pentium II processor),11.5,12.8,16.3,23.6,7.7,7.54,7.82,7.32,10.6,14.4,17.8,11.8,http://www.spec.org/cpu95/results/res99q1/cpu95-19990315-03448.html
369,556,1999-03-01,Intel Corp.,Intel SE440BX2 Motherboard(450MHz; Pentium II processor),11.9,13.3,16.5,23.7,7.7,7.57,8.29,7.74,11.4,15.5,19.0,12.0,http://www.spec.org/cpu95/results/res99q1/cpu95-19990315-03455.html
370,565,1999-03-01,Intel Corp.,Intel SE440BX2 Motherboard(450MHz; Pentium III processor),12.2,13.7,17.0,24.8,7.98,7.75,8.38,7.88,11.5,15.7,19.1,12.7,http://www.spec.org/cpu95/results/res99q1/cpu95-19990315-03452.html
371,566,1999-03-01,Intel Corp.,Intel SE440BX2 Motherboard(500 MHz; Pentium III processor),13.2,14.7,18.3,26.6,8.53,8.02,8.99,8.53,12.5,17.2,21.2,14.0,http://www.spec.org/cpu95/results/res99q1/cpu95-19990315-03454.html
372,567,1999-05-01,Intel Corp.,Intel SE440BX2 Motherboard(550 MHz; Pentium III processor),13.8,15.1,18.8,26.9,9.13,8.26,9.41,8.99,13.3,18.3,22.3,14.4,http://www.spec.org/cpu95/results/res99q3/cpu95-19990719-03757.html
373,557,2000-03-01,Intel Corporation,Intel VC820 motherboard,31.9,32.2,44.8,80.1,15.8,16.2,33.1,18.0,30.7,26.8,57.4,42.6,http://www.spec.org/cpu95/results/res2000q1/cpu95-20000313-04135.html
374,572,1999-11-01,Intel Corporation,Intel VC820 motherboard,27.7,28.2,44.8,77.9,14.6,15.2,27.6,15.8,25.3,21.9,40.6,35.4,http://www.spec.org/cpu95/results/res2000q1/cpu95-19991220-03968.html
375,574,1999-12-01,Intel Corporation,Intel VC820 motherboard,28.6,28.9,44.5,76.4,14.8,15.4,29.2,16.2,26.7,22.8,44.3,36.8,http://www.spec.org/cpu95/results/res2000q1/cpu95-19991220-03970.html
376,570,1999-11-01,Intel Corporation,Intel VC820 motherboard,26.7,27.0,44.6,78.0,14.2,15.3,26.3,15.3,23.5,20.7,36.9,33.5,http://www.spec.org/cpu95/results/res2000q1/cpu95-19991220-03971.html
377,501,1995-06-01,Intel,XXpress Deskside (1000\120; 1MB L2),2.24,2.81,3.12,3.68,1.48,1.44,1.15,1.11,2.44,2.68,4.77,3.25,http://www.spec.org/cpu95/results/res9512/p073.html
378,500,1995-06-01,Intel,XXpress Deskside (100MHz),2.04,2.6,3.07,3.6,1.38,1.39,0.946,1.01,2.03,2.19,4.42,3.08,http://www.spec.org/cpu95/results/res96q2/cpu95-960610-00860.html
379,502,1995-06-01,Intel,XXpress Deskside (1110\133; 1MB L2),2.48,3.12,3.4,4.08,1.65,1.6,1.29,1.23,2.71,2.97,5.28,3.62,http://www.spec.org/cpu95/results/res9512/p074.html
380,501,1995-06-01,Intel,XXpress Deskside (120MHz),2.2,2.82,3.09,3.67,1.47,1.45,1.1,1.11,2.33,2.49,4.87,3.16,http://www.spec.org/cpu95/results/res96q2/cpu95-960610-00865.html
381,502,1995-06-01,Intel,XXpress Deskside (133MHz),2.43,3.08,3.39,4.03,1.61,1.57,1.22,1.23,2.58,2.71,5.41,3.6,http://www.spec.org/cpu95/results/res96q2/cpu95-960610-00870.html
382,503,1996-01-01,Intel,XXpress Deskside (150MHz),2.43,3.11,3.23,3.8,1.58,1.56,1.33,1.23,2.74,2.9,5.41,3.43,http://www.spec.org/cpu95/results/res96q2/cpu95-960610-00871.html
383,504,1996-01-01,Intel,XXpress Deskside (166MHz),2.68,3.4,3.52,4.16,1.73,1.69,1.46,1.35,3.03,3.21,5.99,3.81,http://www.spec.org/cpu95/results/res96q2/cpu95-960610-00876.html
384,505,1996-06-01,Intel,XXpress Deskside (200MHz),2.92,3.68,3.62,4.28,1.9,1.78,1.69,1.48,3.46,3.65,6.75,4.05,http://www.spec.org/cpu95/results/res96q2/cpu95-960610-00880.html
385,500,1995-06-01,Intel,XXpress Deskside (815\100; 1MB L2),2.06,2.59,3.01,3.6,1.39,1.38,0.988,1.0,2.13,2.36,4.34,3.09,http://www.spec.org/cpu95/results/res9512/p072.html
386,587,1995-11-01,Intel,TDZ300 (150MHz),4.53,4.79,7.34,9.7,2.71,3.04,2.59,2.48,4.42,4.96,7.91,5.61,http://www.spec.org/cpu95/results/res9512/p075.html
387,589,1996-03-01,Intel,TDZ300 (180MHz),5.25,5.76,8.46,11.1,3.08,3.39,2.93,2.9,5.24,5.74,9.52,6.62,http://www.spec.org/cpu95/results/res9512/p076.html
388,590,1996-03-01,Intel,TDZ300 (200MHz),5.82,6.41,9.45,12.1,3.41,3.77,3.25,3.23,5.82,6.38,10.6,7.32,http://www.spec.org/cpu95/results/res9512/p077.html
389,180,1998-06-01,Digital NH,767 Personal Supercomputer,23.2,25.1,24.2,39.5,13.0,13.8,21.5,8.51,27.7,28.5,54.4,34.1,http://www.spec.org/cpu95/results/res98q3/cpu95-980701-02841.html
390,326,1996-12-01,Motorola; Urbana; Illinois,MVME2604-2161,8.09,8.92,10.1,15.3,4.39,4.51,6.19,6.23,9.99,7.74,18.7,7.05,http://www.spec.org/cpu95/results/res97q1/cpu95-970108-01594.html
391,326,1996-09-01,Motorola; Urbana; Illinois,PowerStackII Pro3000/200,6.0,6.31,6.8,10.5,3.1,2.83,4.8,4.23,7.65,6.83,18.6,4.85,http://www.spec.org/cpu95/results/res96q4/cpu95-960916-01325.html
392,321,1995-11-01,Motorola; Urbana; Illinois,RISC PC 604,3.01,0.0,3.54,4.24,1.79,1.8,2.83,2.59,4.03,3.43,5.92,2.09,http://www.spec.org/cpu95/results/res96q2/cpu95-960503-00761.html
393,324,1995-11-01,Motorola; Urbana; Illinois,RISC PC 604,3.32,0.0,3.7,4.48,1.89,1.93,3.25,2.89,4.67,4.0,6.83,2.25,http://www.spec.org/cpu95/results/res96q2/cpu95-960503-00769.html
394,321,1995-11-01,Motorola; Urbana; Illinois,Series E 604,3.05,0.0,3.59,4.31,1.8,1.82,2.87,2.6,4.06,3.43,6.32,2.12,http://www.spec.org/cpu95/results/res96q2/cpu95-960503-00764.html
395,324,1995-11-01,Motorola; Urbana; Illinois,Series E 604,3.07,0.0,3.69,4.47,1.92,1.92,2.95,2.72,4.19,3.52,4.53,2.26,http://www.spec.org/cpu95/results/res96q2/cpu95-960503-00765.html
396,324,1995-11-01,Motorola; Urbana; Illinois,Series E 604,3.74,0.0,4.15,4.9,2.38,2.18,3.63,3.08,5.01,4.6,7.51,2.59,http://www.spec.org/cpu95/results/res96q2/cpu95-960503-00766.html
397,703,1996-06-01,SGI,Indigo-2 Impact 10000 (195MHz; 1MB L2),10.2,10.6,12.1,15.0,6.23,4.12,8.59,7.45,9.12,9.18,28.2,17.3,http://www.spec.org/cpu95/results/res96q3/cpu95-960701-00993.html
398,721,1996-03-01,SGI,Indy R5000 (150MHz; 0 L2),4.11,4.2,6.02,9.36,1.69,2.16,3.79,3.34,3.48,3.69,11.4,3.6,http://www.spec.org/cpu95/results/res96q3/cpu95-960701-00985.html
399,721,1996-03-01,SGI,Indy R5000 (150MHz; 512KB L2),4.72,4.78,6.49,9.39,2.02,2.18,4.27,3.49,4.43,4.59,12.7,5.32,http://www.spec.org/cpu95/results/res96q3/cpu95-960701-00983.html
400,722,1996-03-01,SGI,Indy R5000 (180MHz; 512KB L2),4.72,4.78,6.16,8.94,1.92,2.08,4.11,3.6,4.66,4.65,14.9,5.22,http://www.spec.org/cpu95/results/res96q3/cpu95-960701-00981.html
401,704,1998-02-01,SGI,O2 R10000,8.45,8.77,9.72,12.5,4.8,3.1,6.94,5.92,9.14,9.08,26.1,11.6,http://www.spec.org/cpu95/results/res98q1/cpu95-980206-02408.html
402,706,1998-06-01,SGI,O2 R10k/250,9.33,9.71,10.1,12.9,5.02,3.21,7.25,6.49,10.5,11.0,34.4,12.8,http://www.spec.org/cpu95/results/res98q3/cpu95-980701-02838.html
403,722,1996-10-01,SGI,O2 R5000PC,4.54,4.55,6.76,10.4,1.91,2.48,4.39,4.03,4.28,4.38,7.95,4.19,http://www.spec.org/cpu95/results/res96q4/cpu95-961206-01550.html
404,722,1996-10-01,SGI,O2 R5000SC,5.37,5.42,7.41,10.4,2.33,2.48,5.0,4.23,5.64,5.51,10.2,6.64,http://www.spec.org/cpu95/results/res96q4/cpu95-961206-01552.html
405,703,1998-03-01,SGI,Octane,19.2,20.3,26.1,41.5,10.9,10.7,18.1,13.2,16.0,15.1,35.0,27.0,http://www.spec.org/cpu95/results/res98q1/cpu95-971216-02308.html
406,706,1996-11-01,SGI,Octane,16.1,17.0,22.5,36.1,9.01,9.3,15.7,11.0,13.1,12.1,27.7,22.1,http://www.spec.org/cpu95/results/res98q2/cpu95-980413-02594.html
407,742,1999-03-01,SGI,Origin200 1X 270MHz R12k,23.7,25.2,27.8,39.3,14.2,16.0,24.5,14.9,19.3,23.4,39.7,34.4,http://www.spec.org/cpu95/results/res99q2/cpu95-19990329-03501.html
408,706,1998-03-01,SGI,Origin2000,22.6,24.5,28.8,42.1,14.1,15.6,22.9,14.4,17.7,20.1,35.2,32.0,http://www.spec.org/cpu95/results/res98q1/cpu95-980227-02507.html
409,706,1999-08-01,SGI,Origin2100: 250MHz R10k,23.2,25.2,28.6,42.0,14.2,16.1,23.7,15.0,18.4,19.4,37.9,33.5,http://www.spec.org/cpu95/results/res99q3/cpu95-19990803-03761.html
410,746,2000-06-01,SGI,SGI 2200: 2X 400MHz R12k,37.1,43.5,45.6,58.6,24.2,29.1,34.4,21.2,28.9,37.8,64.6,50.9,http://www.spec.org/cpu95/results/res2000q2/cpu95-20000509-04234.html
411,556,1998-11-01,Siemens; Germany,CELSIUS 2000,13.5,15.0,19.5,27.5,9.07,8.39,8.81,8.29,11.9,16.4,23.3,14.8,http://www.spec.org/cpu95/results/res99q1/cpu95-19990118-03258.html
412,566,1999-03-01,Siemens; Munich / Germany,Celsius 420,13.4,14.9,18.3,26.5,9.01,8.57,9.06,8.58,12.5,17.2,21.1,14.0,http://www.spec.org/cpu95/results/res99q2/cpu95-19990412-03521.html
413,567,1999-05-01,Siemens; Munich / Germany,Celsius 630,15.5,17.1,21.0,30.1,10.2,9.65,10.3,9.53,14.4,19.2,27.8,17.0,http://www.spec.org/cpu95/results/res99q2/cpu95-19990412-03523.html
414,555,1998-07-01,SNI; Munich / Germany,CELSIUS 2000,12.1,13.4,17.7,25.0,8.05,7.93,8.0,7.44,10.9,14.7,20.2,12.8,http://www.spec.org/cpu95/results/res98q3/cpu95-980707-02878.html
415,502,1995-10-01,SNI; Augsburg / Germany,PCE-5Smp,2.35,2.35,2.87,3.76,1.67,1.49,1.2,1.12,2.47,2.89,5.43,3.69,http://www.spec.org/cpu95/results/res96q2/cpu95-960429-00727.html
416,502,1996-03-01,SNI; Augsburg / Germany,PRIMERGY-550,2.16,2.16,2.79,2.81,1.32,1.69,1.21,1.18,2.48,2.54,4.68,3.02,http://www.spec.org/cpu95/results/res96q2/cpu95-960429-00739.html
417,553,1998-02-01,SNI; Munich / Germany,SCENIC Celsius 1000,8.67,9.43,11.3,17.4,5.77,4.91,6.09,5.62,8.41,11.3,14.1,9.4,http://www.spec.org/cpu95/results/res98q1/cpu95-980202-02376.html
418,552,1997-10-01,SNI; Munich / Germany,SCENIC Celsius 1000,7.88,8.56,11.4,16.8,4.98,4.79,5.69,5.26,7.81,10.4,9.34,8.9,http://www.spec.org/cpu95/results/res97q3/cpu95-970915-02127.html
419,756,1996-08-01,Sun; Mountain View,Enterprise 6000/1,9.14,9.37,16.9,22.0,6.31,5.35,8.07,5.68,6.04,8.41,12.8,11.0,http://www.spec.org/cpu95/results/res96q3/cpu95-960718-01077.html
420,756,1996-05-01,Sun; Mountain View,Enterprise 6000/1,8.65,8.73,16.3,20.8,5.45,5.07,7.81,5.62,5.93,7.37,12.7,10.3,http://www.spec.org/cpu95/results/res96q2/cpu95-960416-00701.html
421,760,1997-04-01,Sun; Mountain View,Enterprise Server Model 3002/1,13.3,15.0,22.2,25.8,10.1,9.47,11.9,7.39,7.64,17.0,16.1,17.7,http://www.spec.org/cpu95/results/res97q2/cpu95-970409-01742.html
422,740,1995-12-01,Sun; Mountain View,SPARCstation 20 Model 151,4.73,4.71,6.52,11.3,2.95,2.37,3.31,2.97,4.97,4.54,6.62,7.31,http://www.spec.org/cpu95/results/res96q1/cpu95-960228-00484.html
423,753,1995-01-01,Sun MountainView;CA,SPARCstation 20 Model 71,2.14,0.0,3.57,5.88,1.65,1.32,1.44,1.1,2.09,2.29,2.05,2.85,http://www.spec.org/cpu95/results/res9509/p067.html
424,231,1997-01-01,Sun; Mountain View,SPARCstation 5 Model 170,2.72,3.0,4.75,3.03,1.61,1.76,2.35,2.33,2.67,2.95,4.59,2.73,http://www.spec.org/cpu95/results/res97q2/cpu95-970429-01833.html
425,750,1993-04-01,Sun; Mountain View,SPARCstation/server 10 Model 40,1.14,1.38,0.998,1.09,1.06,1.14,0.987,1.24,1.31,1.13,1.19,1.26,http://www.spec.org/cpu95/results/res96q1/cpu95-960228-00477.html
426,753,1995-02-01,Sun; Mountain View,SPARCstation/server 20 Model 71,2.96,3.1,3.84,5.58,2.15,1.7,2.47,2.07,3.21,3.25,5.43,2.29,http://www.spec.org/cpu95/results/res96q1/cpu95-960228-00486.html
427,201,1995-05-01,Sun; Mountain View,SPARCstation/server 4/110 & 5/110,1.88,1.99,2.34,3.18,1.34,1.25,1.36,1.65,1.49,2.18,2.12,2.85,http://www.spec.org/cpu95/results/res96q1/cpu95-960228-00488.html
428,765,1999-03-01,Sun; Palo Alto,Sun Enterprise 250,19.6,21.9,27.7,36.9,13.1,10.4,19.0,11.2,18.0,26.4,22.9,25.5,http://www.spec.org/cpu95/results/res98q4/cpu95-981007-03099.html
429,761,1998-07-01,Sun; Palo Alto,Sun Enterprise 250,16.2,17.3,24.8,32.5,10.6,9.01,17.1,9.72,14.0,20.9,17.1,19.8,http://www.spec.org/cpu95/results/res99q1/cpu95-19990226-03438.html
430,765,1998-12-01,Sun; Palo Alto,Sun Enterprise 3500,22.5,25.4,35.3,42.3,15.1,15.2,24.4,11.8,19.0,28.4,23.6,27.0,http://www.spec.org/cpu95/results/res99q1/cpu95-19990122-03281.html
431,765,1999-05-01,Sun; Palo Alto,Sun Enterprise 3500/4500,26.5,30.1,42.7,48.8,18.4,22.1,39.7,12.8,19.9,29.3,24.6,28.0,http://www.spec.org/cpu95/results/res99q2/cpu95-19990503-03571.html
432,765,1998-11-01,Sun; Palo Alto,Sun Enterprise 450,22.8,25.7,32.3,43.0,15.3,15.5,25.3,12.8,19.0,28.8,23.4,27.4,http://www.spec.org/cpu95/results/res98q4/cpu95-981109-03158.html
433,755,1996-11-01,Sun; Mountain View,Sun Ultra 1 Creator Model 140E,7.85,8.38,15.8,18.2,4.69,4.92,7.09,5.55,5.42,6.35,10.7,9.26,http://www.spec.org/cpu95/results/res96q4/cpu95-961108-01466.html
434,757,1996-07-01,Sun; Mountain View,Sun Ultra 1 Creator Model 200E,9.79,10.4,18.5,21.3,5.78,6.04,9.35,6.78,6.89,8.47,15.2,10.5,http://www.spec.org/cpu95/results/res96q3/cpu95-960822-01176.html
435,755,1995-11-01,Sun; Mountain View,Sun Ultra 1 Model 140,7.73,7.9,15.7,18.2,4.44,4.9,6.94,5.32,5.34,6.3,11.1,8.95,http://www.spec.org/cpu95/results/res96q1/cpu95-960228-00491.html
436,756,1995-11-01,Sun; Mountain View,Sun Ultra 1 Model 170,8.45,9.06,17.7,19.7,4.99,5.37,7.91,6.0,6.19,7.19,13.0,7.25,http://www.spec.org/cpu95/results/res96q1/cpu95-960228-00493.html
437,771,1998-03-01,Sun; Palo Alto,Sun Ultra AXi,15.8,17.0,20.7,29.8,10.5,8.49,15.0,9.82,14.5,21.9,18.2,21.0,http://www.spec.org/cpu95/results/res98q2/cpu95-980428-02733.html
438,759,1997-08-01,Sun; Mountain View,Sun Ultra Enterprise 450,17.2,18.8,26.0,35.7,11.5,8.57,18.9,10.6,14.3,21.5,19.2,21.0,http://www.spec.org/cpu95/results/res97q3/cpu95-970819-02036.html
439,758,1997-07-01,Sun; Mountain View,Sun Ultra30,13.6,14.9,21.0,28.8,8.47,7.52,15.1,8.7,11.4,14.5,15.8,16.5,http://www.spec.org/cpu95/results/res97q3/cpu95-970721-01995.html
440,759,1997-07-01,Sun; Mountain View,Sun Ultra30,16.2,18.3,24.4,32.9,10.9,9.42,17.8,9.71,13.4,20.5,19.1,17.1,http://www.spec.org/cpu95/results/res97q3/cpu95-970721-01997.html
441,770,1998-01-01,Sun; Palo Alto,Ultra 10 300MHz,12.0,12.9,17.3,23.6,6.13,6.32,12.7,8.21,12.0,12.2,16.6,16.0,http://www.spec.org/cpu95/results/res98q1/cpu95-980128-02370.html
442,771,1998-06-01,Sun; Palo Alto,Ultra 10 333MHz,15.7,18.1,21.9,29.9,10.5,8.53,15.5,9.81,14.2,22.0,16.1,20.4,http://www.spec.org/cpu95/results/res98q3/cpu95-980718-02904.html
443,771,1998-11-01,Sun; Palo Alto,Ultra 10 Model 333,15.8,18.3,21.9,29.9,10.6,8.62,15.5,9.8,14.2,22.0,16.1,21.0,http://www.spec.org/cpu95/results/res98q4/cpu95-981118-03183.html
444,772,1998-11-01,Sun; Palo Alto,Ultra 10 Model 360,17.1,19.9,23.7,32.4,11.5,9.32,16.8,10.6,15.4,23.7,17.3,22.7,http://www.spec.org/cpu95/results/res98q4/cpu95-981118-03173.html
445,774,1999-05-01,Sun; Palo Alto,Ultra 10 Model 440,19.8,22.7,27.8,37.8,12.7,10.3,18.8,11.7,18.8,27.3,22.7,26.6,http://www.spec.org/cpu95/results/res99q2/cpu95-19990514-03654.html
446,762,1997-04-01,Sun; Mountain View,Ultra 2 Creator (3D) Model 1300,14.5,15.5,23.9,29.6,9.35,8.46,13.6,8.68,13.9,16.7,19.1,14.2,http://www.spec.org/cpu95/results/res97q2/cpu95-970430-01841.html
447,765,1999-05-01,Sun; Palo Alto,Ultra 2 Model 1400,19.8,22.3,27.6,37.2,13.2,10.3,19.6,11.3,18.3,26.7,23.8,25.8,http://www.spec.org/cpu95/results/res99q2/cpu95-19990514-03640.html
448,756,1996-05-01,Sun; Mountain View,Ultra 2 Series 1170,8.94,9.33,17.0,22.6,5.66,5.32,8.36,5.93,5.96,6.79,12.8,11.0,http://www.spec.org/cpu95/results/res96q2/cpu95-960416-00702.html
449,757,1996-06-01,Sun; Mountain View,Ultra 2 Series 1200,11.1,11.4,20.1,27.6,7.88,6.44,10.1,7.02,7.26,10.3,14.8,12.5,http://www.spec.org/cpu95/results/res96q2/cpu95-960416-00708.html
450,761,1998-07-01,Sun; Palo Alto,Ultra 450,17.3,19.7,28.1,35.7,11.4,10.2,18.7,10.3,14.4,20.6,17.8,20.6,http://www.spec.org/cpu95/results/res98q3/cpu95-980718-02898.html
451,769,1998-01-01,Sun; Palo Alto,Ultra 5 270MHz,8.8,10.1,13.9,15.1,4.47,5.25,9.47,7.17,7.39,7.66,11.8,12.4,http://www.spec.org/cpu95/results/res98q1/cpu95-980127-02355.html
452,769,1998-11-01,Sun; Palo Alto,Ultra 5 Model 270,8.93,10.6,15.8,21.1,4.83,5.24,8.83,7.12,8.32,6.53,8.89,12.6,http://www.spec.org/cpu95/results/res98q4/cpu95-981118-03185.html
453,771,1998-11-01,Sun; Palo Alto,Ultra 5 Model 333,15.8,18.3,21.9,29.9,10.6,8.61,15.5,9.8,14.3,21.9,16.1,21.0,http://www.spec.org/cpu95/results/res98q4/cpu95-981118-03187.html
454,772,1999-05-01,Sun; Palo Alto,Ultra 5 Model 360,11.3,13.1,19.7,26.4,5.68,6.48,10.7,8.57,10.7,7.92,15.3,15.5,http://www.spec.org/cpu95/results/res99q2/cpu95-19990514-03648.html
455,773,2000-03-01,Sun; Palo Alto,Ultra 5 Model 400,18.6,21.9,24.0,34.0,13.0,8.95,17.4,10.1,17.0,28.1,23.4,26.6,http://www.spec.org/cpu95/results/res2000q2/cpu95-20000317-04140.html
456,761,1998-03-01,Sun; Palo Alto,Ultra 60 296MHz,17.1,18.4,25.4,35.5,11.1,9.94,18.6,10.4,13.8,20.2,19.2,21.3,http://www.spec.org/cpu95/results/res98q1/cpu95-980127-02361.html
457,764,1998-05-01,Sun; Palo Alto,Ultra 60 Model 1360,21.9,23.5,31.6,44.7,14.9,14.9,24.3,12.7,17.3,26.0,22.8,25.9,http://www.spec.org/cpu95/results/res98q2/cpu95-980511-02761.html
458,766,1999-05-01,Sun; Palo Alto,Ultra 60 Model 1450,23.9,27.0,32.9,44.2,15.8,16.1,25.3,12.9,20.7,30.4,26.8,30.5,http://www.spec.org/cpu95/results/res99q2/cpu95-19990514-03644.html
459,766,1999-11-01,Sun; Palo Alto,Ultra 80 Model 1450,24.6,27.9,34.4,45.0,16.7,16.7,26.6,13.6,21.0,30.7,26.8,30.3,http://www.spec.org/cpu95/results/res99q4/cpu95-19991111-03920.html
460,760,1997-01-01,Sun; Mountain View,Ultra Enterprise 4001/1,11.5,11.7,20.5,24.0,7.61,6.65,9.95,7.52,8.36,11.2,15.2,15.3,http://www.spec.org/cpu95/results/res97q1/cpu95-961220-01561.html
461,763,1998-03-01,Sun; Menlo Park,Sun Enterprise 3000,19.5,20.4,28.6,36.8,12.8,13.4,20.7,10.3,15.7,25.2,22.1,24.0,http://www.spec.org/cpu95/results/res98q1/cpu95-980223-02460.html
