spec_fp1995_id,processor_id,hw_avail,test_sponsor,hw_model,basemean,peakmean,101_tomcatv,102_swim,103_su2cor,104_hydro2d,107_mgrid,110_applu,125_turb3d,141_apsi,145_fpppp,146_wave5,link
281,329,2000-05-01,IBM; Austin; TX,RS/6000 43P-150 (250MHz),8.28,8.78,9.5,14.7,4.21,3.77,6.72,5.33,9.99,9.52,23.8,8.37,http://www.spec.org/cpu95/results/res2000q2/cpu95-20000508-04232.html
282,328,1997-05-01,IBM; Austin TX,RS/6000 43P-240 & F40 (233MHz 1 Proc.),5.6,5.87,5.53,9.1,2.94,2.3,4.01,3.24,7.28,6.91,22.2,6.11,http://www.spec.org/cpu95/results/res97q2/cpu95-970414-01785.html
283,325,1996-11-01,IBM; Austin TX,RS/6000 43P-240; F40 & H10,4.6,4.75,5.16,8.02,2.3,2.11,3.34,3.19,6.0,4.65,15.2,4.69,http://www.spec.org/cpu95/results/res96q4/cpu95-961122-01523.html
284,285,2000-02-01,IBM; Austin; TX,RS/6000 44P-170 (333 MHz),34.0,35.6,43.2,60.6,18.6,22.2,33.1,23.1,42.6,23.3,54.6,45.7,http://www.spec.org/cpu95/results/res2000q1/cpu95-20000124-04016.html
285,287,2000-02-01,IBM; Austin; TX,RS/6000 44P-170 (400 MHz),46.0,47.9,56.7,76.4,31.4,31.7,42.8,27.4,57.1,34.3,67.1,63.0,http://www.spec.org/cpu95/results/res2000q1/cpu95-20000124-04012.html
286,286,2000-02-01,IBM; Austin; TX,RS/6000 44P-270 (1 CPU),46.0,48.2,53.2,72.6,35.7,32.6,40.8,26.5,55.6,38.2,62.7,65.8,http://www.spec.org/cpu95/results/res2000q1/cpu95-20000124-04024.html
287,325,1996-11-01,IBM; Austin TX,RS/6000 E30 & F30,4.62,4.77,5.44,8.85,2.42,1.95,3.47,2.96,5.49,5.38,15.1,4.32,http://www.spec.org/cpu95/results/res96q4/cpu95-961122-01527.html
288,328,1997-04-01,IBM; Austin TX,RS/6000 E30 & F30 (233MHz),5.71,6.01,5.84,10.2,2.56,2.15,4.56,3.26,7.59,6.83,22.1,6.61,http://www.spec.org/cpu95/results/res97q2/cpu95-970414-01782.html
289,328,1997-05-01,IBM; Austin; TX,RS/6000 F40 (233MHz 1 CPU),5.12,5.34,4.99,7.5,2.62,2.01,3.83,2.92,7.33,6.51,21.8,5.36,http://www.spec.org/cpu95/results/res2000q1/cpu95-20000214-04069.html
290,325,1997-04-01,IBM; Austin TX,RS/6000 F50 (166MHz 1 Proc.),8.11,8.52,11.6,17.8,4.34,4.57,5.9,5.79,9.42,6.55,16.5,8.59,http://www.spec.org/cpu95/results/res97q2/cpu95-970414-01761.html
291,341,2000-06-01,IBM; Austin; TX,RS/6000 Model 7026-F80 (1 CPU),24.8,25.4,29.3,38.1,18.0,11.4,21.0,16.5,28.7,23.5,49.2,33.8,http://www.spec.org/cpu95/results/res2000q2/cpu95-20000505-04218.html
292,341,2000-06-01,IBM; Austin; TX,RS/6000 Model 7026-H80 (1 CPU),24.8,25.4,29.3,38.1,18.0,11.4,21.0,16.5,28.7,23.5,49.2,33.8,http://www.spec.org/cpu95/results/res2000q2/cpu95-20000505-04212.html
293,342,2000-06-01,IBM; Austin; TX,RS/6000 Model 7026-M80 (1 CPU),28.5,29.1,31.9,40.7,21.7,16.2,24.5,17.9,31.8,26.7,54.5,38.6,http://www.spec.org/cpu95/results/res2000q2/cpu95-20000505-04225.html
