# iv.st_nlink=True id=2012-10-01T07:57:28 iv.kver=osdi12-submit-264-geb55f43
# iv.cores dv.stats/sec (mean min max)
2 3599910.19878 3569116.13046 3621891.03676
6 7931605.22603 7770366.14325 8024483.61258
12 8590138.85473 8500979.04204 8670224.86688
18 10859915.8034 9748962.26167 11443046.8068
24 13255105.5439 12149117.3451 13870552.9266
30 15794768.7883 14279874.841 16552715.7446
36 18598898.5631 17025617.4071 19530164.7228
42 18430926.7779 17210038.5884 19282976.6987
48 13835491.3419 11515215.5108 15144739.1175


# iv.st_nlink=False id=2012-10-01T08:07:58 iv.kver=osdi12-submit-264-geb55f43+
# iv.cores dv.stats/sec (mean min max)
2 4373115.99067 4364488.76878 4389456.15419
6 12534644.2749 12103026.4153 13022517.5062
12 24927502.8966 24233062.1101 25292775.3213
18 37538097.3887 36370495.466 38135083.8074
24 49757418.6371 47463660.5423 50943115.7739
30 62149364.426 59053563.1054 63711124.7561
36 74541781.9474 70629539.7176 76598226.2126
42 87038783.6385 82293967.8174 89458569.125
48 99383025.5017 93528531.9348 102393598.8


